,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
8,Dolnośląskie,Bolesławiecki,Warta Bolesławiecka,Gmina wiejska,0201062,30209,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. HENRYKA SIENKIEWICZA W RACIBOROWICACH DOLNYCH,Raciborowice Dolne,3,16,44,15,46,20,16,30,19,26,12,6,,,,,,,,,,,,,,,10,35,15,33,29,,,,,,,,,,
8,Dolnośląskie,Bolesławiecki,Warta Bolesławiecka,Gmina wiejska,0201062,75053,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. WŁADYSŁAWA STANISŁAWA REYMONTA W WARCIE BOLESŁAWIECKIEJ,Warta Bolesławiecka,29,11,60,16,64,62,11,48,21,52,24,11,72,29,82,100,,,,,,,,,,,,,,,,,,,,,,,,,
8,Dolnośląskie,Bolesławiecki,Warta Bolesławiecka,Gmina wiejska,0201062,29457,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. ŻOŁNIERZY II ARMII WOJSKA POLSKIEGO W TOMASZOWIE BOLESŁAWIECKIM,Tomaszów Bolesławiecki,96,21,55,18,62,64,21,38,26,28,16,8,,,,,,,,,,,,,,,13,48,17,47,22,,,,,,,,,,
8,Dolnośląskie,Bolesławiecki,Warta Bolesławiecka,Gmina wiejska,0201062,29524,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA W SZCZYTNICY,Szczytnica,34,7,,,,,7,,,,,4,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
8,Dolnośląskie,Bolesławiecki,Warta Bolesławiecka,Gmina wiejska,0201062,262368,dla młodzieży,Tak,SZKOŁA PODSTAWOWA SPECJALNA W IWINACH W POWIATOWYM MŁODZIEŻOWYM OŚRODKU WYCHOWAWCZYM W IWINACH,Iwiny-Osiedle,19,9,,,,,9,,,,,8,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
8,Dolnośląskie,Dzierżoniowski,Bielawa,Gmina miejska,0202011,8117,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 10 Z ODDZIAŁAMI SPORTOWYMI W BIELAWIE,Bielawa,ul. gen. Grota Roweckiego 6,71,60,17,62,60,71,43,21,44,24,71,71,26,76,100,,,,,,,,,,,,,,,,,,,,,,,,,
8,Dolnośląskie,Dzierżoniowski,Bielawa,Gmina miejska,0202011,8116,dla młodzieży,Tak,EKOLOGICZNA SZKOŁA PODSTAWOWA NR 7 IM. JULIANA TUWIMA W BIELAWIE,Bielawa,os. Osiedle Włókniarzy 10,76,53,18,56,56,76,39,23,32,24,76,67,30,75,100,,,,,,,,,,,,,,,,,,,,,,,,,
8,Dolnośląskie,Dzierżoniowski,Bielawa,Gmina miejska,0202011,8115,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 4 Z ODDZIAŁAMI INTEGRACYJNYMI W BIELAWIE,Bielawa,ul. Ludwika Waryńskiego 50,47,46,22,42,67,47,31,20,24,16,47,52,31,45,31,,,,,,,,,,,,,,,,,,,,,,,,,
8,Dolnośląskie,Dzierżoniowski,Bielawa,Gmina miejska,0202011,112051,dla młodzieży,Nie,SPOŁECZNA SZKOŁA PODSTAWOWA TOWARZYSTWA OŚWIATOWEGO W BIELAWIE,Bielawa,ul. Stefana Żeromskiego 1,15,55,12,58,53,15,47,19,48,68,15,86,18,91,87,,,,,,,,,,,,,,,,,,,,,,,,,
8,Dolnośląskie,Dzierżoniowski,Bielawa,Gmina miejska,0202011,262666,dla młodzieży,Nie,EUROPEJSKA SZKOŁA PODSTAWOWA Z ODDZIAŁAMI PRZYSPOSABIAJĄCYMI DO PRACY,Bielawa,ul. Wolności 105,7,,,,,7,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,
8,Dolnośląskie,Dzierżoniowski,Bielawa,Gmina miejska,0202011,262677,dla młodzieży,Nie,SZKOŁA PODSTAWOWA Z ODDZIAŁAMI PRZYSPOSABIAJĄCYMI DO PRACY CECHU RZEMIOSŁ RÓŻNYCH I MAŁEJ PRZEDSIĘBIORCZOŚCI,Bielawa,ul. Polna 2,4,,,,,4,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
8,Dolnośląskie,Dzierżoniowski,Dzierżoniów,Gmina miejska,0202021,73075,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 5 Z ODDZIAŁAMI INTEGRACYJNYMI IM. BOHATERÓW WESTERPLATTE W DZIERŻONIOWIE,Dzierżoniów,os. Osiedle Błękitne 25,129,58,16,60,58,128,44,23,40,28,130,74,26,87,95,,,,,,,,,,,1,,,,,,,,,,,,,,
8,Dolnośląskie,Dzierżoniowski,Dzierżoniów,Gmina miejska,0202021,73077,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 9 IM. MIKOŁAJA KOPERNIKA W DZIERŻONIOWIE,Dzierżoniów,ul. Mikołaja Kopernika 7,58,48,19,49,60,58,37,24,28,20,58,59,30,62,96,,,,,,,,,,,,,,,,,,,,,,,,,
8,Dolnośląskie,Dzierżoniowski,Dzierżoniów,Gmina miejska,0202021,85191,dla młodzieży,Nie,NIEPUBLICZNA SZKOŁA PODSTAWOWA SIÓSTR SALEZJANEK IM.BŁ.LAURY VICUNA W DZIERŻONIOWIE,Dzierżoniów,ul. Wrocławska 51,12,58,17,62,56,12,39,17,42,44,13,57,32,53,95,,,,,,,,,,,,,,,,,,,,,,,,,
8,Dolnośląskie,Dzierżoniowski,Dzierżoniów,Gmina miejska,0202021,64260,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 3 IM. KOMISJI EDUKACJI NARODOWEJ W DZIERŻONIOWIE,Dzierżoniów,ul. Nowowiejska 64,34,54,16,55,53,34,32,16,30,20,35,48,30,38,16,,,,,,,,,,,,,,,,,,,,,,,,,
