,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,17679,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 34 W BYDGOSZCZY IM. BOHATERÓW 3.PUŁKU LOTNICTWA SZTURMOWEGO W BYDGOSZCZY,Bydgoszcz,ul. Opławiec 157,14,68,14,65,58,14,59,30,52,52,14,75,27,96,98,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,17681,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 67 IM. ANDRZEJA SZWALBEGO Z ODDZIAŁAMI SPORTOWYMI W BYDGOSZCZY,Bydgoszcz,ul. Marcina Kromera 11,80,58,19,63,69,80,46,24,44,20,79,71,28,82,100,,,,,,,,,,,1,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,26952,dla młodzieży,Nie,KATOLICKA SZKOŁA PODSTAWOWA IM. ŚW. WOJCIECHA,Bydgoszcz,ul. Nowodworska 17,52,77,13,78,73,52,83,14,88,100,49,95,10,98,100,3,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,27039,dla młodzieży,Nie,SZKOŁA PODSTAWOWA TOWARZYSTWA SALEZJAŃSKIEGO W BYDGOSZCZY,Bydgoszcz,ul. Pod Reglami 1,61,76,9,76,73,61,62,23,64,80,61,90,15,98,98,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,39740,dla młodzieży,Nie,NIEPUBLICZNA SZKOŁA PODSTAWOWA INTERNATIONAL SCHOOL OF BYDGOSZCZ,Bydgoszcz,ul. Michała Kleofasa Ogińskiego 16,13,61,10,60,69,13,41,24,32,20,20,79,35,97,98,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,85575,nie dotyczy,Tak,PAŃSTWOWA OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. W BYDGOSZCZY,Bydgoszcz,ul. Andrzeja Szwalbego 1,17,83,8,82,89,17,65,20,52,52,17,91,10,95,98,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,85576,nie dotyczy,Tak,PAŃSTWOWA OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA II ST. W BYDGOSZCZY,Bydgoszcz,ul. Andrzeja Szwalbego 1,24,72,11,70,76,24,64,21,52,52,25,88,18,96,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,123854,dla młodzieży,Nie,NIEPUBLICZNA SZKOŁA PODSTAWOWA UNIVERSUM W BYDGOSZCZY,Bydgoszcz,ul. ks. Augustyna Kordeckiego 20B,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,124465,dla młodzieży,Nie,NIEPUBLICZNA SZKOŁA PODSTAWOWA PERPETUUM MOBILE FUNDACJI KREATYWNEJ EDUKACJI,Bydgoszcz,ul. Fryderyka Chopina 28,3,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,196421,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 17 IM. BOHATERÓW WRZEŚNIA 1939 ROKU Z ODDZIAŁAMI DWUJĘZYCZNYMI W BYDGOSZCZY,Bydgoszcz,"ul. gen. Augusta Emila Fieldorfa ""Nila"" 17",20,66,15,67,60,20,65,24,72,84,21,93,7,96,98,,,,,,,,,,,,,,,,,,,,,,,,,
