,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,48804,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 27 IM. MARII MONTESSORI W LUBLINIE,Lublin,ul. Kresowa 7,82,54,24,53,78,82,41,28,32,20,78,58,30,57,100,,,,,,2,,,,,2,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,48911,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 23 IM. OLIMPIJCZYKÓW POLSKICH W LUBLINIE,Lublin,ul. Podzamcze 9,94,68,16,71,67,94,58,27,66,68,94,79,23,86,100,,,,,,,,,,,1,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,49073,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 29 IM. ADAMA MICKIEWICZA W LUBLINIE,Lublin,ul. Wajdeloty 1,98,77,14,80,84,98,68,23,72,72,98,89,17,97,98,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,52402,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 30 IM. KRÓLA KAZIMIERZA WIELKIEGO,Lublin,ul. Nałkowskich 110,142,67,15,69,64,142,52,26,50,16,142,73,27,85,100,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,52458,dla młodzieży,Tak,"ZESPÓŁ SZKÓŁ NR 12, SZKOŁA PODSTAWOWA NR 14 IM. TADEUSZA KOŚCIUSZKI W LUBLINIE",Lublin,ul. Sławinkowska 50,72,66,13,67,60,72,54,23,52,48,73,76,25,85,100,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,53185,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 21 IM. KRÓLOWEJ JADWIGI W LUBLINIE,Lublin,ul. Zuchów 1,133,75,14,78,78,133,61,27,64,80,130,85,19,93,100,,,,,,5,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,53352,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 31 IM. LOTNIKÓW POLSKICH W LUBLINIE,Lublin,ul. Lotnicza 1,81,60,21,64,64,81,43,27,36,8,81,61,30,58,100,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,53524,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 34 IM. KORNELA MAKUSZYŃSKIEGO W LUBLINIE,Lublin,ul. Ireny Kosmowskiej 3,83,69,17,71,78,83,54,29,52,92,83,75,27,89,100,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,53689,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 38 IM. HENRYKA SIENKIEWICZA W LUBLINIE,Lublin,ul. Pana Wołodyjowskiego 13,91,71,16,73,80,91,64,26,72,88,89,84,23,96,100,,,,,,,,,,,2,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,53984,dla młodzieży,Nie,SZKOŁA PODSTAWOWA IM. BOLESŁAWA CHROBREGO W LUBLINIE,Lublin,ul. Baltazara Paśnikowskiego 6,44,80,10,82,82,44,83,14,86,100,42,94,11,98,100,,,,,,,,,,,2,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,54080,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 40 IM. LUBELSKIEGO LIPCA 1980,Lublin,ul. Róży Wiatrów 9,82,62,17,62,60,82,44,25,40,16,85,68,28,75,100,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,54404,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 43 IM. IGNACEGO JANA PADEREWSKIEGO,Lublin,ul. Józefa Śliwińskiego 5,131,69,14,69,71,131,52,25,52,76,133,78,25,89,100,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,56052,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 48 IM.JÓZEFA PIŁSUDSKIEGO,Lublin,ul. Jana Kasprowicza 112,29,67,15,71,73,29,48,23,52,52,29,76,24,85,93,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,56431,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 52 IM. MARII KONOPNICKIEJ W LUBLINIE,Lublin,ul. Władysława Jagiełły 11,67,67,15,69,84,67,59,25,56,40,66,71,26,77,96,,,,,,,,,,,1,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,58600,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 2 IM. JANA KOCHANOWSKIEGO W LUBLINIE,Lublin,ul. Adama Mickiewicza 24,113,64,17,64,56,113,53,26,56,60,113,79,24,89,100,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,59083,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 20 IM. JAROSŁAWA DĄBROWSKIEGO W LUBLINIE,Lublin,ul. aleja Józefa Piłsudskiego 26,50,43,21,42,58,50,25,13,24,16,50,43,27,36,18,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,68328,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 11 IM. STANISŁAWY FILIPINY PALEOLOG W LUBLINIE,Lublin,ul. Przyjaźni 12,32,49,22,53,29,32,34,23,28,16,32,49,28,42,29,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,78993,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 22 IM. BOLESŁAWA PRUSA W LUBLINIE,Lublin,ul. Ignacego Rzeckiego 10,38,62,17,63,80,38,51,26,46,28,38,63,32,72,100,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,79194,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 44 W LUBLINIE,Lublin,ul. Kazimierza Tumidajskiego 6a,94,67,18,69,76,94,54,26,52,52,94,73,27,87,98,,,,,,,,,,,2,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,81081,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 50 IM. STEFANA KARDYNAŁA WYSZYŃSKIEGO - PRYMASA TYSIĄCLECIA W LUBLINIE,Lublin,ul. Roztocze 14,107,73,15,73,64,107,70,25,76,100,106,87,19,96,100,,,,,,,,,,,1,,,,,,,,,,,,,,
