,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,42176,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 6 Z ODDZIAŁAMI INTEGRACYJNYMI IM.ORŁA BIAŁEGO W RADOMIU,Radom,ul. Adama Rapackiego 24,115,69,16,71,82,115,59,25,60,36,116,77,25,87,100,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,42212,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 7 IM.KAZIMIERZA PUŁASKIEGO W RADOMIU,Radom,ul. Aleksandra Tybla 7/11,39,50,20,49,38,39,27,22,16,16,39,51,31,38,13,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,42237,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 9 IM. HENRYKA SIENKIEWICZA W RADOMIU,Radom,ul. Sandomierska 19,127,64,16,67,71,127,53,24,52,36,125,75,26,85,100,,,,,,,,,,,2,,,,,,,,,,,,,,
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,48920,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 13 Z ODDZIAŁAMI INTEGRACYJNYMI IM. KS. JÓZEFA PONIATOWSKIEGO W RADOMIU,Radom,ul. Henryka Sienkiewicza 30,53,57,21,58,69,53,33,22,24,24,53,51,29,42,18,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,49375,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR.15 IM. WŁADYSŁAWA SYROKOMLI W RADOMIU,Radom,ul. Kielecka 2/6,89,59,18,62,62,89,47,26,44,20,90,65,28,70,96,,,,,,,,,,,1,,,,,,,,,,,,,,
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,49900,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 17 IM. PRZYJACIÓŁ DZIECI W RADOMIU,Radom,ul. Czarnoleska 10,48,70,17,73,69,48,50,28,46,20,48,72,31,88,100,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,52808,dla młodzieży,Nie,I SPOŁECZNA SZKOŁA PODSTAWOWA SPOŁECZNEGO TOWARZYSTWA OŚWIATOWEGO W RADOMIU,Radom,"ul. mjr. Jana Piwnika ""Ponurego"" 3",17,65,17,64,60,17,65,23,72,72,17,91,8,96,100,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,56256,dla młodzieży,Nie,NIEPUBLICZNA SZKOŁA PODSTAWOWA IM. JULIUSZA SŁOWACKIEGO W RADOMIU,Radom,ul. Warszawska 3,29,60,17,62,64,29,32,17,32,16,29,59,27,56,25,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,58101,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 21 IM. KS. JANA TWARDOWSKIEGO W RADOMIU,Radom,ul. Trojańska 5,66,61,18,63,58,66,52,25,50,32,65,73,27,80,98,,,,,,,,,,,1,,,,,,,,,,,,,,
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,58466,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 26 W RADOMIU,Radom,ul. Wośnicka 125,34,75,11,75,73,34,57,20,56,32,34,74,22,84,98,,,,,,,,,,,,,,,,,,,,,,,,,
