,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
4,Podlaskie,Suwałki,Suwałki,Gmina miejska,2063011,13296,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 6 IM. ALEKSANDRY KUJAŁOWICZ,Suwałki,ul. Sejneńska 12,114,60,17,63,71,114,50,27,46,24,114,69,29,78,100,,,,,,,,,,,1,,,,,,,,,,,,,,
4,Podlaskie,Suwałki,Suwałki,Gmina miejska,2063011,27004,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 9 IM. WŁODZIMIERZA PUCHALSKIEGO W SUWAŁKACH,Suwałki,ul. Tadeusza Kościuszki 36/38,51,56,17,60,62,51,49,24,40,28,53,68,29,78,100,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Suwałki,Suwałki,Gmina miejska,2063011,27749,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 4 IM. KS. KAZIMIERZA ALEKSANDRA HAMERSZMITA W SUWAŁKACH,Suwałki,ul. Wojska Polskiego 13,99,56,17,58,58,99,43,23,40,16,98,69,26,76,100,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Suwałki,Suwałki,Gmina miejska,2063011,30121,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 11 Z ODDZIAŁAMI INTEGRACYJNYMI W SUWAŁKACH,Suwałki,ul. Szpitalna 66,102,58,14,60,60,102,48,25,46,44,102,68,26,74,93,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Suwałki,Suwałki,Gmina miejska,2063011,41223,dla młodzieży,Nie,PARAFIALNA PODSTAWOWA SZKOŁA POLSKO - ROMSKA Z ODDZIAŁAMI INTEGRACYJNYMI W SUWAŁKACH,Suwałki,ul. Tadeusza Kościuszki 58,9,,,,,8,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Suwałki,Suwałki,Gmina miejska,2063011,49362,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 5 IM. ALFREDA WIERUSZ-KOWALSKIEGO W SUWAŁKACH,Suwałki,ul. Klonowa 51,127,64,16,67,71,127,51,27,48,24,127,72,27,82,100,,,,,,,,,,,1,,,,,,,,,,,,,,
4,Podlaskie,Suwałki,Suwałki,Gmina miejska,2063011,53287,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 2 Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. ALEKSANDRY PIŁSUDSKIEJ W SUWAŁKACH,Suwałki,ul. Tadeusza Kościuszki 126,62,58,16,60,38,62,50,25,48,64,62,64,27,70,98,,,,,,,,,,,,,,,,1,,,,,,,,,
4,Podlaskie,Suwałki,Suwałki,Gmina miejska,2063011,68453,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 7 IM. ŚW. JANA PAWŁA II W SUWAŁKACH,Suwałki,ul. Romualda Minkiewicza 50,80,52,18,55,58,80,44,23,40,20,80,64,30,72,96,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Suwałki,Suwałki,Gmina miejska,2063011,73153,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 10 Z ODDZIAŁAMI INTEGRACYJNYMI IM. OLIMPIJCZYKÓW POLSKICH W SUWAŁKACH,Suwałki,ul. Jerzego Antoniewicza 5,87,60,14,60,44,87,36,22,28,20,87,62,27,64,31,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,Suwałki,Suwałki,Gmina miejska,2063011,133682,dla młodzieży,Nie,SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W SUWAŁKACH,Suwałki,ul. Tadeusza Kościuszki 47B,18,75,11,77,58,18,70,26,78,92,17,89,16,95,100,,,,,,,,,,,1,,,,,,,,,,,,,,
4,Podlaskie,augustowski,Augustów,Gmina miejska,2001011,44717,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 6 IM. ARMII KRAJOWEJ W AUGUSTOWIE,Augustów,ul. Tartaczna 21,16,60,20,65,67,16,49,25,48,24,16,66,28,75,93,,,,,,,,,,,,,,,,,,,,,,,,,
4,Podlaskie,augustowski,Augustów,Gmina miejska,2001011,86491,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 4 IM. MARII KONOPNICKIEJ W AUGUSTOWIE,Augustów,ul. Marii Konopnickiej 5,41,54,17,58,62,41,35,18,32,20,42,54,29,49,96,,,,,,,,,,,,,,,,1,,,,,,,,,
4,Podlaskie,augustowski,Augustów,Gmina miejska,2001011,86572,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 3 IM. 1 PUŁKU UŁANÓW KRECHOWIECKICH W AUGUSTOWIE,Augustów,ul. Mickiewicza 1,107,61,16,60,56,106,40,23,36,28,106,63,28,65,100,,,,,,,,,,,,,,,,2,,,,,,,,,
