,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,49508,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 15 IM. WOJCIECHA KĘTRZYŃSKIEGO W OLSZTYNIE,Olsztyn,ul. Wojciecha Kętrzyńskiego 10,67,63,16,64,71,67,52,26,52,72,66,77,24,88,98,,,,,,1,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,49596,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 18 IM. ORŁA BIAŁEGO W OLSZTYNIE,Olsztyn,ul. Żytnia 71,51,63,15,67,69,51,49,26,44,40,48,78,23,91,100,,,,,,,,,,,3,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,49665,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 19 IM. MIKOŁAJA KOPERNIKA W OLSZTYNIE,Olsztyn,ul. Bałtycka 151,46,65,14,67,60,45,53,22,56,52,47,75,26,89,100,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,49769,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 22 IM. MARII DĄBROWSKIEJ W OLSZTYNIE,Olsztyn,ul. Żołnierska 26,61,50,18,51,51,61,42,23,40,48,62,59,29,59,96,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,58759,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 9 W OLSZTYNIE,Olsztyn,ul. Ludwika Zamenhofa 14,51,62,21,64,60,51,61,26,60,100,24,76,28,87,85,,,,,,,,,,,27,68,27,75,100,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,58761,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 13 IM. KOMISJI EDUKACJI NARODOWEJ W OLSZTYNIE,Olsztyn,ul. Aleksandra Puszkina 11,64,56,18,58,64,64,36,19,32,32,64,62,27,61,100,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,58763,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 30 IM. MARII ZIENTARY-MALEWSKIEJ W OLSZTYNIE,Olsztyn,ul. Pieczewska 10,126,59,19,60,51,126,47,27,44,12,127,75,25,85,100,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,71688,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 29 IM. JANA LISZEWSKIEGO W OLSZTYNIE,Olsztyn,ul. Jarosława Iwaszkiewicza 44,111,69,13,71,73,111,72,22,76,100,111,89,16,96,100,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,71690,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 34 IM. JÓZEFA MALEWSKIEGO W OLSZTYNIE,Olsztyn,ul. Johanna Gottfrieda Herdera 3,192,60,15,60,58,192,48,23,48,56,190,77,24,87,98,,,,,,,,,,,2,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,77973,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 25 Z ODDZIAŁAMI INTEGRACYJNYMI IM. HANSA CHRISTIANA ANDERSENA W OLSZTYNIE,Olsztyn,ul. Melchiora Wańkowicza 1,76,56,17,60,60,76,39,23,36,24,76,68,28,73,100,,,,,,,,,,,1,,,,,,,,,,,,,,
