RSPO,Kod teryt gminy,Typ gminy,"liczba
zdających","wynik
średni (%)","liczba
zdających.1","wynik
średni (%).1","liczba
zdających.2","wynik
średni (%).2"
272773,3213021,Gmina miejska,32.0,57.0,32.0,44.0,31.0,68.0
9294,3213062,Gmina wiejska,12.0,41.0,12.0,32.0,12.0,50.0
9296,3213062,Gmina wiejska,16.0,42.0,16.0,28.0,16.0,32.0
9297,3213062,Gmina wiejska,16.0,43.0,16.0,36.0,16.0,42.0
9298,3213062,Gmina wiejska,8.0,,8.0,,8.0,
9299,3213062,Gmina wiejska,11.0,55.0,11.0,40.0,11.0,47.0
58843,3217024,Miasto,40.0,49.0,40.0,34.0,25.0,40.0
68341,3217034,Miasto,48.0,55.0,48.0,46.0,45.0,57.0
109938,3217044,Miasto,30.0,58.0,30.0,39.0,30.0,60.0
71118,3217045,Obszar wiejski,8.0,,8.0,,8.0,
4644,3217011,Gmina miejska,58.0,61.0,58.0,41.0,57.0,65.0
4831,3217011,Gmina miejska,85.0,58.0,85.0,38.0,84.0,54.0
12523,3217011,Gmina miejska,41.0,63.0,41.0,49.0,41.0,70.0
196283,3217011,Gmina miejska,17.0,70.0,17.0,44.0,15.0,65.0
52456,3217052,Gmina wiejska,31.0,58.0,31.0,38.0,30.0,44.0
133698,3217052,Gmina wiejska,13.0,56.0,13.0,43.0,13.0,41.0
133699,3217052,Gmina wiejska,22.0,58.0,22.0,33.0,22.0,41.0
133700,3217052,Gmina wiejska,13.0,52.0,13.0,30.0,14.0,44.0
133706,3217052,Gmina wiejska,19.0,64.0,19.0,34.0,19.0,69.0
11969,3218014,Miasto,28.0,56.0,28.0,32.0,28.0,47.0
90197,3218015,Obszar wiejski,6.0,,6.0,,6.0,
71943,3218032,Gmina wiejska,35.0,52.0,35.0,32.0,35.0,45.0
21187,3218044,Miasto,47.0,42.0,47.0,28.0,45.0,45.0
5691,3218045,Obszar wiejski,21.0,59.0,21.0,33.0,21.0,40.0
27979,3218054,Miasto,44.0,55.0,44.0,35.0,44.0,54.0
64327,3218055,Obszar wiejski,10.0,49.0,10.0,34.0,10.0,35.0
133866,3218024,Miasto,101.0,56.0,101.0,43.0,99.0,61.0
60451,3218025,Obszar wiejski,8.0,,8.0,,8.0,
49676,3263011,Gmina miejska,23.0,49.0,23.0,35.0,21.0,67.0
79982,3263011,Gmina miejska,82.0,56.0,82.0,44.0,72.0,71.0
79996,3263011,Gmina miejska,91.0,54.0,91.0,41.0,82.0,70.0
80929,3263011,Gmina miejska,33.0,51.0,33.0,42.0,32.0,75.0
80930,3263011,Gmina miejska,74.0,53.0,75.0,44.0,76.0,63.0
90200,3216022,Gmina wiejska,16.0,63.0,16.0,39.0,16.0,60.0
79677,3216034,Miasto,51.0,44.0,51.0,33.0,51.0,52.0
262355,3216034,Miasto,23.0,49.0,23.0,29.0,25.0,56.0
79676,3216035,Obszar wiejski,10.0,49.0,10.0,50.0,10.0,37.0
92142,3216035,Obszar wiejski,15.0,52.0,15.0,40.0,15.0,41.0
22437,3216042,Gmina wiejska,24.0,56.0,24.0,35.0,24.0,47.0
68401,3216052,Gmina wiejska,39.0,52.0,39.0,40.0,30.0,59.0
40668,3216011,Gmina miejska,21.0,61.0,21.0,41.0,20.0,72.0
41104,3216011,Gmina miejska,16.0,52.0,16.0,35.0,16.0,56.0
43638,3216011,Gmina miejska,16.0,56.0,16.0,43.0,16.0,57.0
262230,3216011,Gmina miejska,80.0,54.0,80.0,36.0,80.0,56.0
72708,3216062,Gmina wiejska,12.0,58.0,12.0,51.0,12.0,54.0
72710,3216062,Gmina wiejska,17.0,54.0,16.0,51.0,7.0,
267763,3216062,Gmina wiejska,7.0,,7.0,,3.0,
34556,0201011,Gmina miejska,29.0,58.0,29.0,43.0,19.0,63.0
34554,0201011,Gmina miejska,108.0,58.0,108.0,44.0,93.0,66.0
34518,0201011,Gmina miejska,41.0,60.0,41.0,48.0,23.0,71.0
111598,0201011,Gmina miejska,22.0,66.0,22.0,62.0,22.0,83.0
38803,0201011,Gmina miejska,58.0,61.0,58.0,46.0,53.0,76.0
38801,0201011,Gmina miejska,37.0,53.0,37.0,34.0,21.0,49.0
20645,0201022,Gmina wiejska,9.0,,9.0,,9.0,
20750,0201022,Gmina wiejska,9.0,,9.0,,9.0,
20961,0201022,Gmina wiejska,5.0,,5.0,,4.0,
20889,0201022,Gmina wiejska,19.0,58.0,19.0,41.0,10.0,68.0
20932,0201022,Gmina wiejska,16.0,61.0,16.0,43.0,17.0,48.0
20936,0201022,Gmina wiejska,7.0,,7.0,,3.0,
22209,0201022,Gmina wiejska,10.0,56.0,10.0,28.0,7.0,
20957,0201022,Gmina wiejska,7.0,,7.0,,5.0,
88722,0201032,Gmina wiejska,44.0,45.0,44.0,32.0,35.0,54.0
49586,0201044,Miasto,52.0,55.0,52.0,52.0,39.0,62.0
60830,0201045,Obszar wiejski,13.0,53.0,12.0,44.0,12.0,61.0
74366,0201045,Obszar wiejski,12.0,41.0,12.0,28.0,6.0,
74360,0201045,Obszar wiejski,19.0,57.0,19.0,39.0,10.0,58.0
61297,0201045,Obszar wiejski,16.0,56.0,16.0,38.0,17.0,63.0
84302,0201045,Obszar wiejski,17.0,50.0,17.0,39.0,17.0,53.0
72000,0201052,Gmina wiejska,9.0,,9.0,,10.0,57.0
123256,0201052,Gmina wiejska,38.0,54.0,38.0,39.0,38.0,59.0
123062,0201052,Gmina wiejska,38.0,57.0,38.0,46.0,37.0,62.0
72065,0201052,Gmina wiejska,14.0,47.0,14.0,26.0,15.0,43.0
74899,0201062,Gmina wiejska,20.0,71.0,20.0,49.0,18.0,69.0
30209,0201062,Gmina wiejska,16.0,44.0,16.0,30.0,6.0,
75053,0201062,Gmina wiejska,11.0,60.0,11.0,48.0,11.0,72.0
29457,0201062,Gmina wiejska,21.0,55.0,21.0,38.0,8.0,
29524,0201062,Gmina wiejska,7.0,,7.0,,4.0,
262368,0201062,Gmina wiejska,9.0,,9.0,,8.0,
8117,0202011,Gmina miejska,71.0,60.0,71.0,43.0,71.0,71.0
8116,0202011,Gmina miejska,76.0,53.0,76.0,39.0,76.0,67.0
8115,0202011,Gmina miejska,47.0,46.0,47.0,31.0,47.0,52.0
73075,0202021,Gmina miejska,129.0,58.0,128.0,44.0,130.0,74.0
73077,0202021,Gmina miejska,58.0,48.0,58.0,37.0,58.0,59.0
64260,0202021,Gmina miejska,34.0,54.0,34.0,32.0,35.0,48.0
121868,0202052,Gmina wiejska,11.0,51.0,11.0,39.0,11.0,55.0
121950,0202052,Gmina wiejska,19.0,64.0,19.0,42.0,19.0,67.0
73094,0202052,Gmina wiejska,30.0,59.0,30.0,47.0,24.0,67.0
121789,0202052,Gmina wiejska,6.0,,6.0,,6.0,
111387,0202074,Miasto,22.0,54.0,22.0,36.0,22.0,56.0
61547,0202034,Miasto,49.0,51.0,49.0,35.0,48.0,59.0
23237,0202041,Gmina miejska,51.0,53.0,51.0,33.0,49.0,52.0
72951,0202062,Gmina wiejska,41.0,52.0,41.0,34.0,41.0,54.0
72954,0202062,Gmina wiejska,26.0,50.0,26.0,36.0,26.0,46.0
56377,0204014,Miasto,77.0,59.0,77.0,40.0,77.0,65.0
56378,0204014,Miasto,56.0,54.0,56.0,42.0,57.0,61.0
55375,0204015,Obszar wiejski,10.0,54.0,10.0,27.0,10.0,41.0
111028,0204015,Obszar wiejski,14.0,55.0,14.0,32.0,14.0,50.0
111109,0204015,Obszar wiejski,16.0,53.0,16.0,37.0,16.0,52.0
111153,0204015,Obszar wiejski,21.0,52.0,21.0,33.0,21.0,55.0
23548,0204022,Gmina wiejska,11.0,45.0,11.0,41.0,5.0,
23547,0204022,Gmina wiejska,9.0,,9.0,,9.0,
22675,0204032,Gmina wiejska,18.0,52.0,18.0,44.0,18.0,59.0
44681,0204032,Gmina wiejska,18.0,58.0,18.0,37.0,9.0,
