RSPO,Kod teryt gminy,Typ gminy,"liczba
zdających","wynik
średni (%)","liczba
zdających.1","wynik
średni (%).1","liczba
zdających.2","wynik
średni (%).2"
90611,1261011,Gmina miejska,54.0,80.0,54.0,76.0,54.0,94.0
92090,1261011,Gmina miejska,57.0,77.0,57.0,81.0,57.0,92.0
110431,1261011,Gmina miejska,15.0,42.0,15.0,31.0,15.0,32.0
132609,1261011,Gmina miejska,26.0,81.0,26.0,81.0,26.0,96.0
133027,1261011,Gmina miejska,27.0,78.0,27.0,79.0,29.0,83.0
133489,1261011,Gmina miejska,67.0,77.0,67.0,77.0,61.0,95.0
133490,1261011,Gmina miejska,17.0,74.0,17.0,68.0,17.0,84.0
133497,1261011,Gmina miejska,9.0,,9.0,,8.0,
133503,1261011,Gmina miejska,18.0,32.0,17.0,19.0,18.0,35.0
133510,1261011,Gmina miejska,16.0,59.0,16.0,39.0,16.0,29.0
133513,1261011,Gmina miejska,41.0,82.0,41.0,87.0,41.0,95.0
133514,1261011,Gmina miejska,15.0,75.0,15.0,69.0,15.0,86.0
133793,1261011,Gmina miejska,31.0,77.0,31.0,77.0,31.0,85.0
15990,1262011,Gmina miejska,67.0,65.0,67.0,54.0,67.0,72.0
16006,1262011,Gmina miejska,80.0,61.0,80.0,52.0,80.0,65.0
16016,1262011,Gmina miejska,104.0,67.0,104.0,49.0,104.0,68.0
16031,1262011,Gmina miejska,50.0,60.0,50.0,50.0,50.0,71.0
16036,1262011,Gmina miejska,38.0,56.0,38.0,42.0,36.0,63.0
16044,1262011,Gmina miejska,47.0,71.0,47.0,50.0,46.0,76.0
16046,1262011,Gmina miejska,27.0,63.0,27.0,43.0,27.0,69.0
18365,1262011,Gmina miejska,16.0,83.0,16.0,64.0,16.0,85.0
18798,1262011,Gmina miejska,52.0,61.0,52.0,56.0,53.0,75.0
19353,1262011,Gmina miejska,97.0,67.0,97.0,60.0,97.0,79.0
21571,1262011,Gmina miejska,35.0,55.0,35.0,34.0,35.0,58.0
25444,1262011,Gmina miejska,26.0,60.0,26.0,37.0,26.0,49.0
47112,1262011,Gmina miejska,51.0,61.0,51.0,44.0,52.0,68.0
80666,1262011,Gmina miejska,19.0,63.0,19.0,55.0,19.0,68.0
13499,1263011,Gmina miejska,42.0,63.0,42.0,46.0,42.0,61.0
13500,1263011,Gmina miejska,73.0,70.0,73.0,56.0,73.0,75.0
13501,1263011,Gmina miejska,76.0,69.0,76.0,51.0,76.0,73.0
13502,1263011,Gmina miejska,42.0,57.0,42.0,48.0,42.0,73.0
13503,1263011,Gmina miejska,44.0,63.0,44.0,44.0,43.0,72.0
13504,1263011,Gmina miejska,72.0,64.0,72.0,51.0,72.0,71.0
13505,1263011,Gmina miejska,25.0,59.0,25.0,41.0,25.0,65.0
13506,1263011,Gmina miejska,13.0,58.0,13.0,47.0,13.0,73.0
13507,1263011,Gmina miejska,57.0,60.0,57.0,50.0,57.0,77.0
13508,1263011,Gmina miejska,77.0,67.0,77.0,53.0,77.0,78.0
14042,1263011,Gmina miejska,69.0,64.0,70.0,45.0,70.0,74.0
14043,1263011,Gmina miejska,70.0,69.0,70.0,69.0,68.0,89.0
14044,1263011,Gmina miejska,49.0,62.0,49.0,49.0,49.0,65.0
19892,1263011,Gmina miejska,59.0,64.0,59.0,48.0,59.0,78.0
133915,1263011,Gmina miejska,62.0,74.0,62.0,72.0,62.0,91.0
38871,1201011,Gmina miejska,67.0,68.0,67.0,63.0,69.0,80.0
38875,1201011,Gmina miejska,59.0,71.0,59.0,67.0,60.0,76.0
38876,1201011,Gmina miejska,82.0,68.0,82.0,68.0,81.0,76.0
38878,1201011,Gmina miejska,38.0,59.0,38.0,58.0,39.0,70.0
38879,1201011,Gmina miejska,54.0,67.0,54.0,67.0,54.0,80.0
70985,1201022,Gmina wiejska,12.0,57.0,12.0,45.0,12.0,49.0
71003,1201022,Gmina wiejska,6.0,,6.0,,6.0,
71009,1201022,Gmina wiejska,11.0,69.0,11.0,58.0,11.0,63.0
71024,1201022,Gmina wiejska,18.0,68.0,18.0,47.0,18.0,71.0
71074,1201022,Gmina wiejska,24.0,55.0,24.0,42.0,24.0,57.0
71083,1201022,Gmina wiejska,23.0,66.0,23.0,59.0,23.0,68.0
71091,1201022,Gmina wiejska,7.0,,7.0,,7.0,
71101,1201022,Gmina wiejska,26.0,54.0,26.0,47.0,25.0,56.0
71108,1201022,Gmina wiejska,12.0,71.0,12.0,67.0,12.0,76.0
71148,1201022,Gmina wiejska,11.0,51.0,11.0,40.0,11.0,55.0
71393,1201022,Gmina wiejska,23.0,62.0,23.0,38.0,22.0,63.0
71417,1201022,Gmina wiejska,28.0,61.0,28.0,55.0,28.0,72.0
89460,1201032,Gmina wiejska,22.0,66.0,22.0,43.0,22.0,54.0
89462,1201032,Gmina wiejska,16.0,61.0,16.0,44.0,16.0,55.0
104469,1201032,Gmina wiejska,13.0,60.0,13.0,50.0,13.0,54.0
121788,1201032,Gmina wiejska,14.0,60.0,14.0,41.0,14.0,77.0
121792,1201032,Gmina wiejska,6.0,,6.0,,6.0,
103557,1201042,Gmina wiejska,27.0,57.0,27.0,47.0,27.0,61.0
103559,1201042,Gmina wiejska,39.0,62.0,39.0,50.0,39.0,67.0
110406,1201064,Miasto,62.0,66.0,62.0,53.0,59.0,71.0
23332,1201065,Obszar wiejski,15.0,57.0,15.0,45.0,15.0,76.0
110215,1201065,Obszar wiejski,22.0,61.0,22.0,47.0,22.0,58.0
110379,1201065,Obszar wiejski,33.0,63.0,33.0,55.0,33.0,64.0
110508,1201065,Obszar wiejski,13.0,66.0,13.0,50.0,11.0,80.0
35121,1201072,Gmina wiejska,10.0,60.0,10.0,48.0,10.0,67.0
35130,1201072,Gmina wiejska,15.0,51.0,15.0,50.0,15.0,72.0
39016,1201072,Gmina wiejska,18.0,67.0,18.0,49.0,18.0,76.0
42472,1201072,Gmina wiejska,13.0,74.0,13.0,54.0,13.0,68.0
42856,1201072,Gmina wiejska,11.0,65.0,11.0,54.0,11.0,63.0
43969,1201072,Gmina wiejska,11.0,54.0,11.0,59.0,11.0,54.0
69179,1201072,Gmina wiejska,33.0,69.0,33.0,55.0,33.0,74.0
3653,1201082,Gmina wiejska,17.0,60.0,17.0,56.0,17.0,58.0
3667,1201082,Gmina wiejska,13.0,63.0,13.0,38.0,13.0,55.0
4558,1201082,Gmina wiejska,12.0,68.0,12.0,60.0,12.0,65.0
19653,1201082,Gmina wiejska,17.0,64.0,17.0,48.0,17.0,72.0
19844,1201082,Gmina wiejska,20.0,66.0,20.0,47.0,20.0,63.0
7690,1201052,Gmina wiejska,4.0,,4.0,,4.0,
12963,1201052,Gmina wiejska,8.0,,8.0,,8.0,
87594,1201052,Gmina wiejska,54.0,61.0,54.0,46.0,54.0,60.0
87597,1201052,Gmina wiejska,11.0,53.0,11.0,49.0,11.0,76.0
87602,1201052,Gmina wiejska,11.0,56.0,11.0,43.0,11.0,52.0
87612,1201052,Gmina wiejska,8.0,,8.0,,8.0,
73952,1201092,Gmina wiejska,20.0,70.0,20.0,58.0,20.0,63.0
73953,1201092,Gmina wiejska,8.0,,8.0,,8.0,
89422,1201092,Gmina wiejska,11.0,59.0,11.0,57.0,11.0,63.0
107522,1201092,Gmina wiejska,17.0,61.0,17.0,45.0,17.0,41.0
82339,1202012,Gmina wiejska,10.0,59.0,10.0,44.0,10.0,64.0
82610,1202012,Gmina wiejska,27.0,58.0,27.0,35.0,26.0,49.0
87535,1202012,Gmina wiejska,4.0,,4.0,,4.0,
103347,1202012,Gmina wiejska,14.0,57.0,14.0,31.0,14.0,49.0
103528,1202012,Gmina wiejska,17.0,68.0,17.0,49.0,17.0,75.0
7890,1202024,Miasto,88.0,67.0,88.0,50.0,87.0,70.0
7945,1202024,Miasto,84.0,72.0,84.0,54.0,80.0,74.0
262665,1202024,Miasto,16.0,61.0,16.0,44.0,13.0,78.0
6879,1202025,Obszar wiejski,30.0,71.0,30.0,49.0,30.0,68.0
8035,1202025,Obszar wiejski,23.0,66.0,23.0,49.0,23.0,68.0
8076,1202025,Obszar wiejski,10.0,72.0,10.0,47.0,10.0,58.0
8486,1202025,Obszar wiejski,18.0,55.0,18.0,45.0,18.0,53.0
9087,1202025,Obszar wiejski,16.0,65.0,16.0,47.0,16.0,69.0
9089,1202025,Obszar wiejski,22.0,65.0,22.0,44.0,22.0,61.0
9129,1202025,Obszar wiejski,41.0,64.0,41.0,48.0,40.0,62.0
9231,1202025,Obszar wiejski,5.0,,5.0,,5.0,
11786,1202025,Obszar wiejski,17.0,64.0,17.0,44.0,17.0,56.0
25069,1202034,Miasto,32.0,59.0,32.0,52.0,32.0,61.0
26126,1202035,Obszar wiejski,24.0,72.0,24.0,41.0,23.0,60.0
26224,1202035,Obszar wiejski,17.0,46.0,17.0,32.0,17.0,41.0
28494,1202035,Obszar wiejski,14.0,58.0,14.0,40.0,14.0,53.0
28497,1202035,Obszar wiejski,6.0,,6.0,,6.0,
28500,1202035,Obszar wiejski,23.0,59.0,23.0,34.0,23.0,57.0
3389,1202042,Gmina wiejska,8.0,,8.0,,8.0,
6084,1202042,Gmina wiejska,22.0,70.0,22.0,58.0,21.0,61.0
6107,1202042,Gmina wiejska,10.0,66.0,10.0,56.0,10.0,58.0
6141,1202042,Gmina wiejska,6.0,,6.0,,6.0,
6340,1202042,Gmina wiejska,7.0,,7.0,,7.0,
8780,1202042,Gmina wiejska,16.0,58.0,16.0,49.0,16.0,61.0
11388,1202042,Gmina wiejska,14.0,56.0,14.0,49.0,14.0,65.0
11405,1202042,Gmina wiejska,20.0,57.0,20.0,33.0,20.0,50.0
12591,1202042,Gmina wiejska,16.0,70.0,16.0,65.0,16.0,77.0
12715,1202042,Gmina wiejska,16.0,70.0,16.0,50.0,16.0,63.0
262593,1202042,Gmina wiejska,9.0,,9.0,,9.0,
58373,1202052,Gmina wiejska,29.0,64.0,29.0,47.0,29.0,62.0
58374,1202052,Gmina wiejska,18.0,62.0,18.0,38.0,18.0,63.0
58375,1202052,Gmina wiejska,7.0,,7.0,,7.0,
104638,1202052,Gmina wiejska,17.0,79.0,17.0,70.0,17.0,83.0
104694,1202052,Gmina wiejska,15.0,61.0,15.0,43.0,15.0,56.0
81247,1202062,Gmina wiejska,38.0,62.0,38.0,43.0,38.0,56.0
81249,1202062,Gmina wiejska,6.0,,6.0,,6.0,
81426,1202062,Gmina wiejska,24.0,66.0,24.0,43.0,24.0,54.0
81428,1202062,Gmina wiejska,10.0,60.0,10.0,34.0,10.0,48.0
87904,1202062,Gmina wiejska,11.0,67.0,11.0,42.0,11.0,75.0
16407,1202072,Gmina wiejska,32.0,54.0,32.0,44.0,32.0,54.0
16466,1202072,Gmina wiejska,7.0,,7.0,,7.0,
16554,1202072,Gmina wiejska,13.0,59.0,13.0,33.0,13.0,56.0
16585,1202072,Gmina wiejska,8.0,,8.0,,8.0,
16598,1202072,Gmina wiejska,4.0,,4.0,,4.0,
16611,1202072,Gmina wiejska,14.0,70.0,14.0,38.0,14.0,45.0
59853,1203014,Miasto,21.0,68.0,21.0,52.0,21.0,86.0
29074,1203015,Obszar wiejski,7.0,,7.0,,7.0,
29140,1203015,Obszar wiejski,10.0,56.0,10.0,52.0,10.0,68.0
29196,1203015,Obszar wiejski,19.0,63.0,19.0,50.0,19.0,73.0
47657,1203015,Obszar wiejski,10.0,60.0,10.0,44.0,10.0,67.0
61492,1203015,Obszar wiejski,11.0,71.0,11.0,57.0,10.0,70.0
62037,1203015,Obszar wiejski,15.0,61.0,15.0,56.0,15.0,80.0
92528,1203022,Gmina wiejska,9.0,,9.0,,9.0,
103436,1203022,Gmina wiejska,8.0,,8.0,,8.0,
109490,1203022,Gmina wiejska,15.0,53.0,15.0,32.0,15.0,57.0
109593,1203022,Gmina wiejska,20.0,70.0,20.0,57.0,20.0,79.0
109865,1203022,Gmina wiejska,10.0,58.0,10.0,52.0,10.0,59.0
61826,1203034,Miasto,71.0,58.0,71.0,42.0,71.0,63.0
65154,1203034,Miasto,18.0,58.0,18.0,51.0,17.0,69.0
65155,1203034,Miasto,19.0,58.0,19.0,47.0,19.0,62.0
68003,1203034,Miasto,39.0,55.0,39.0,45.0,41.0,69.0
68021,1203034,Miasto,79.0,63.0,79.0,41.0,79.0,72.0
70034,1203034,Miasto,54.0,64.0,54.0,57.0,54.0,80.0
61824,1203035,Obszar wiejski,30.0,64.0,30.0,41.0,30.0,68.0
61825,1203035,Obszar wiejski,15.0,68.0,15.0,57.0,15.0,67.0
68862,1203035,Obszar wiejski,25.0,62.0,25.0,51.0,25.0,66.0
44030,1203044,Miasto,46.0,67.0,46.0,40.0,46.0,67.0
262499,1203044,Miasto,98.0,67.0,96.0,42.0,98.0,64.0
42835,1203045,Obszar wiejski,13.0,57.0,13.0,51.0,13.0,65.0
52666,1203045,Obszar wiejski,35.0,61.0,35.0,45.0,35.0,67.0
29514,1203054,Miasto,14.0,62.0,14.0,41.0,14.0,66.0
29515,1203054,Miasto,40.0,61.0,40.0,50.0,34.0,76.0
47603,1203054,Miasto,59.0,60.0,59.0,46.0,58.0,68.0
47610,1203054,Miasto,20.0,54.0,20.0,37.0,20.0,57.0
23108,1203055,Obszar wiejski,15.0,61.0,15.0,39.0,15.0,71.0
23115,1203055,Obszar wiejski,20.0,69.0,20.0,59.0,20.0,69.0
23118,1203055,Obszar wiejski,15.0,68.0,15.0,60.0,15.0,66.0
23122,1203055,Obszar wiejski,20.0,67.0,20.0,61.0,20.0,73.0
73729,1203055,Obszar wiejski,12.0,67.0,12.0,59.0,12.0,84.0
90438,1203055,Obszar wiejski,20.0,65.0,20.0,49.0,20.0,79.0
105867,1203055,Obszar wiejski,13.0,76.0,13.0,66.0,13.0,85.0
132576,1203055,Obszar wiejski,12.0,41.0,12.0,28.0,12.0,53.0
59024,1204012,Gmina wiejska,17.0,53.0,17.0,49.0,15.0,65.0
84159,1204024,Miasto,56.0,53.0,56.0,48.0,54.0,71.0
84160,1204024,Miasto,44.0,58.0,44.0,46.0,44.0,68.0
5988,1204025,Obszar wiejski,6.0,,6.0,,6.0,
86165,1204025,Obszar wiejski,22.0,50.0,22.0,46.0,22.0,40.0
86238,1204025,Obszar wiejski,14.0,50.0,14.0,35.0,14.0,54.0
89365,1204025,Obszar wiejski,16.0,46.0,16.0,34.0,16.0,46.0
115161,1204025,Obszar wiejski,4.0,,4.0,,4.0,
115287,1204025,Obszar wiejski,7.0,,7.0,,7.0,
15518,1204032,Gmina wiejska,18.0,55.0,18.0,43.0,18.0,53.0
41890,1204042,Gmina wiejska,7.0,,7.0,,7.0,
41891,1204042,Gmina wiejska,18.0,54.0,18.0,58.0,18.0,66.0
61465,1204052,Gmina wiejska,43.0,57.0,43.0,49.0,43.0,59.0
61468,1204052,Gmina wiejska,6.0,,6.0,,6.0,
61470,1204052,Gmina wiejska,8.0,,8.0,,8.0,
91271,1204052,Gmina wiejska,2.0,,2.0,,2.0,
109812,1204062,Gmina wiejska,9.0,,9.0,,9.0,
122982,1204062,Gmina wiejska,43.0,49.0,43.0,37.0,41.0,46.0
123017,1204062,Gmina wiejska,19.0,59.0,19.0,36.0,19.0,54.0
91375,1204074,Miasto,59.0,58.0,59.0,51.0,59.0,64.0
61525,1204075,Obszar wiejski,12.0,52.0,12.0,33.0,12.0,35.0
103524,1204075,Obszar wiejski,17.0,53.0,17.0,43.0,17.0,43.0
103525,1204075,Obszar wiejski,4.0,,4.0,,4.0,
103989,1204075,Obszar wiejski,14.0,50.0,14.0,45.0,14.0,41.0
89001,1205024,Miasto,27.0,68.0,27.0,55.0,26.0,65.0
89199,1205024,Miasto,34.0,48.0,34.0,29.0,34.0,42.0
85807,1205025,Obszar wiejski,6.0,,6.0,,5.0,
91812,1205025,Obszar wiejski,15.0,61.0,15.0,56.0,15.0,60.0
93016,1205025,Obszar wiejski,14.0,50.0,14.0,43.0,14.0,50.0
93017,1205025,Obszar wiejski,34.0,56.0,34.0,38.0,34.0,60.0
93031,1205025,Obszar wiejski,8.0,,8.0,,8.0,
104713,1205025,Obszar wiejski,19.0,63.0,19.0,60.0,19.0,63.0
131572,1205025,Obszar wiejski,4.0,,4.0,,3.0,
74385,1205034,Miasto,63.0,57.0,63.0,47.0,63.0,54.0
59090,1205035,Obszar wiejski,9.0,,9.0,,9.0,
63481,1205035,Obszar wiejski,10.0,55.0,10.0,34.0,10.0,42.0
74477,1205035,Obszar wiejski,11.0,53.0,11.0,57.0,11.0,51.0
74662,1205035,Obszar wiejski,24.0,56.0,24.0,45.0,24.0,57.0
74811,1205035,Obszar wiejski,12.0,68.0,12.0,46.0,12.0,62.0
31949,1205011,Gmina miejska,43.0,62.0,43.0,49.0,43.0,66.0
31964,1205011,Gmina miejska,26.0,57.0,26.0,43.0,26.0,53.0
32003,1205011,Gmina miejska,60.0,64.0,60.0,54.0,60.0,66.0
32070,1205011,Gmina miejska,53.0,58.0,53.0,47.0,53.0,69.0
35182,1205011,Gmina miejska,45.0,60.0,45.0,54.0,43.0,78.0
90821,1205042,Gmina wiejska,6.0,,6.0,,6.0,
90832,1205042,Gmina wiejska,11.0,73.0,11.0,46.0,11.0,71.0
90847,1205042,Gmina wiejska,13.0,67.0,13.0,65.0,13.0,77.0
90848,1205042,Gmina wiejska,25.0,63.0,25.0,40.0,25.0,64.0
90850,1205042,Gmina wiejska,22.0,72.0,22.0,49.0,22.0,72.0
90860,1205042,Gmina wiejska,28.0,57.0,28.0,41.0,28.0,66.0
90861,1205042,Gmina wiejska,31.0,58.0,31.0,46.0,30.0,54.0
103661,1205042,Gmina wiejska,9.0,,9.0,,9.0,
103686,1205042,Gmina wiejska,15.0,75.0,15.0,71.0,15.0,81.0
59760,1205052,Gmina wiejska,8.0,,8.0,,5.0,
59763,1205052,Gmina wiejska,11.0,59.0,11.0,55.0,10.0,74.0
59764,1205052,Gmina wiejska,6.0,,6.0,,6.0,
59766,1205052,Gmina wiejska,29.0,53.0,29.0,40.0,29.0,48.0
42145,1205072,Gmina wiejska,33.0,63.0,33.0,47.0,33.0,63.0
53154,1205072,Gmina wiejska,19.0,59.0,19.0,45.0,19.0,60.0
68214,1205082,Gmina wiejska,40.0,58.0,40.0,45.0,39.0,49.0
68215,1205082,Gmina wiejska,20.0,70.0,20.0,37.0,20.0,59.0
74937,1205082,Gmina wiejska,7.0,,7.0,,7.0,
55910,1205092,Gmina wiejska,25.0,54.0,25.0,41.0,25.0,45.0
72875,1205092,Gmina wiejska,14.0,74.0,14.0,53.0,14.0,66.0
70733,1205102,Gmina wiejska,8.0,,8.0,,8.0,
70736,1205102,Gmina wiejska,6.0,,6.0,,5.0,
70737,1205102,Gmina wiejska,15.0,48.0,15.0,38.0,13.0,48.0
70739,1205102,Gmina wiejska,8.0,,8.0,,8.0,
85311,1205102,Gmina wiejska,9.0,,9.0,,9.0,
85509,1205102,Gmina wiejska,18.0,57.0,18.0,43.0,18.0,51.0
85560,1205102,Gmina wiejska,16.0,62.0,16.0,38.0,16.0,52.0
48276,1205062,Gmina wiejska,5.0,,5.0,,5.0,
48277,1205062,Gmina wiejska,5.0,,5.0,,5.0,
58925,1205062,Gmina wiejska,22.0,61.0,22.0,51.0,22.0,52.0
58928,1205062,Gmina wiejska,34.0,58.0,34.0,42.0,34.0,54.0
61364,1205062,Gmina wiejska,5.0,,5.0,,5.0,
61674,1205062,Gmina wiejska,16.0,49.0,16.0,43.0,16.0,46.0
72406,1205062,Gmina wiejska,11.0,63.0,11.0,53.0,11.0,62.0
106751,1206012,Gmina wiejska,6.0,,6.0,,6.0,
106924,1206012,Gmina wiejska,9.0,,9.0,,9.0,
107051,1206012,Gmina wiejska,9.0,,9.0,,9.0,
107057,1206012,Gmina wiejska,6.0,,6.0,,6.0,
114211,1206012,Gmina wiejska,22.0,72.0,22.0,52.0,22.0,80.0
114313,1206012,Gmina wiejska,16.0,58.0,16.0,55.0,16.0,71.0
115008,1206012,Gmina wiejska,12.0,60.0,12.0,45.0,12.0,80.0
115010,1206012,Gmina wiejska,33.0,67.0,33.0,55.0,33.0,68.0
110522,1206022,Gmina wiejska,25.0,65.0,25.0,47.0,25.0,63.0
111305,1206022,Gmina wiejska,20.0,66.0,20.0,54.0,20.0,69.0
118384,1206022,Gmina wiejska,8.0,,8.0,,8.0,
118519,1206022,Gmina wiejska,4.0,,4.0,,4.0,
70755,1206032,Gmina wiejska,25.0,57.0,25.0,48.0,25.0,62.0
70770,1206032,Gmina wiejska,11.0,78.0,11.0,69.0,11.0,79.0
70785,1206032,Gmina wiejska,17.0,68.0,17.0,52.0,16.0,73.0
70786,1206032,Gmina wiejska,10.0,56.0,10.0,59.0,10.0,64.0
128929,1206032,Gmina wiejska,12.0,65.0,12.0,52.0,12.0,65.0
128930,1206032,Gmina wiejska,10.0,52.0,10.0,54.0,10.0,65.0
128932,1206032,Gmina wiejska,12.0,59.0,12.0,52.0,12.0,70.0
48858,1206042,Gmina wiejska,20.0,62.0,20.0,45.0,20.0,59.0
119436,1206042,Gmina wiejska,45.0,71.0,45.0,59.0,46.0,83.0
119479,1206042,Gmina wiejska,21.0,61.0,21.0,55.0,20.0,71.0
271616,1206042,Gmina wiejska,9.0,,9.0,,9.0,
271631,1206042,Gmina wiejska,11.0,61.0,11.0,56.0,11.0,62.0
58622,1206052,Gmina wiejska,16.0,66.0,16.0,61.0,16.0,69.0
58637,1206052,Gmina wiejska,11.0,65.0,11.0,49.0,11.0,59.0
58654,1206052,Gmina wiejska,7.0,,7.0,,7.0,
58656,1206052,Gmina wiejska,11.0,62.0,11.0,60.0,11.0,76.0
58666,1206052,Gmina wiejska,5.0,,5.0,,5.0,
58678,1206052,Gmina wiejska,19.0,56.0,19.0,39.0,19.0,56.0
58679,1206052,Gmina wiejska,7.0,,7.0,,7.0,
58890,1206052,Gmina wiejska,18.0,66.0,18.0,47.0,18.0,77.0
59121,1206052,Gmina wiejska,31.0,72.0,31.0,60.0,31.0,77.0
82572,1206064,Miasto,80.0,67.0,81.0,51.0,81.0,74.0
262940,1206064,Miasto,28.0,62.0,28.0,42.0,28.0,68.0
83285,1206065,Obszar wiejski,10.0,50.0,10.0,39.0,10.0,53.0
83617,1206065,Obszar wiejski,13.0,65.0,13.0,53.0,13.0,62.0
83619,1206065,Obszar wiejski,17.0,68.0,17.0,63.0,17.0,82.0
83871,1206065,Obszar wiejski,13.0,62.0,13.0,52.0,13.0,58.0
83893,1206065,Obszar wiejski,14.0,67.0,14.0,63.0,14.0,69.0
89380,1206065,Obszar wiejski,12.0,65.0,12.0,56.0,12.0,64.0
89603,1206065,Obszar wiejski,23.0,71.0,23.0,50.0,23.0,71.0
89614,1206065,Obszar wiejski,42.0,58.0,42.0,47.0,41.0,72.0
89635,1206065,Obszar wiejski,21.0,66.0,21.0,56.0,21.0,63.0
62575,1206072,Gmina wiejska,11.0,73.0,11.0,53.0,10.0,77.0
64005,1206072,Gmina wiejska,14.0,71.0,14.0,47.0,14.0,82.0
64042,1206072,Gmina wiejska,9.0,,9.0,,9.0,
70062,1206072,Gmina wiejska,16.0,59.0,16.0,46.0,16.0,65.0
82567,1206072,Gmina wiejska,9.0,,9.0,,9.0,
82585,1206072,Gmina wiejska,18.0,62.0,18.0,54.0,18.0,65.0
82597,1206072,Gmina wiejska,22.0,72.0,22.0,59.0,22.0,84.0
82609,1206072,Gmina wiejska,13.0,63.0,13.0,62.0,13.0,77.0
82613,1206072,Gmina wiejska,6.0,,6.0,,6.0,
83943,1206072,Gmina wiejska,19.0,55.0,19.0,50.0,19.0,69.0
263016,1206072,Gmina wiejska,11.0,69.0,11.0,60.0,11.0,71.0
49952,1206082,Gmina wiejska,48.0,65.0,48.0,52.0,48.0,77.0
60552,1206082,Gmina wiejska,16.0,77.0,16.0,63.0,16.0,80.0
60554,1206082,Gmina wiejska,32.0,61.0,32.0,50.0,32.0,63.0
47208,1206092,Gmina wiejska,14.0,61.0,14.0,33.0,14.0,60.0
47217,1206092,Gmina wiejska,16.0,65.0,16.0,51.0,16.0,65.0
47218,1206092,Gmina wiejska,30.0,75.0,30.0,67.0,30.0,80.0
47219,1206092,Gmina wiejska,8.0,,8.0,,8.0,
48957,1206092,Gmina wiejska,28.0,64.0,28.0,50.0,28.0,80.0
48958,1206092,Gmina wiejska,11.0,43.0,11.0,39.0,11.0,51.0
84795,1206092,Gmina wiejska,16.0,75.0,16.0,63.0,16.0,76.0
79667,1206114,Miasto,71.0,65.0,71.0,50.0,71.0,75.0
80368,1206114,Miasto,82.0,66.0,82.0,58.0,78.0,81.0
84704,1206114,Miasto,41.0,59.0,41.0,60.0,41.0,83.0
262997,1206114,Miasto,44.0,73.0,44.0,73.0,44.0,88.0
41158,1206115,Obszar wiejski,22.0,26.0,22.0,25.0,23.0,29.0
68852,1206115,Obszar wiejski,12.0,62.0,12.0,54.0,12.0,55.0
69451,1206115,Obszar wiejski,14.0,58.0,14.0,45.0,14.0,74.0
84707,1206115,Obszar wiejski,20.0,54.0,20.0,47.0,20.0,43.0
84713,1206115,Obszar wiejski,18.0,65.0,18.0,55.0,18.0,60.0
85353,1206115,Obszar wiejski,30.0,72.0,30.0,53.0,31.0,73.0
108938,1206115,Obszar wiejski,10.0,71.0,10.0,48.0,10.0,60.0
109480,1206115,Obszar wiejski,11.0,64.0,11.0,63.0,11.0,74.0
109491,1206115,Obszar wiejski,31.0,65.0,31.0,55.0,31.0,72.0
122174,1206115,Obszar wiejski,21.0,58.0,21.0,48.0,21.0,64.0
41112,1206104,Miasto,25.0,65.0,25.0,52.0,25.0,75.0
262887,1206104,Miasto,27.0,69.0,27.0,64.0,27.0,68.0
24705,1206105,Obszar wiejski,12.0,71.0,12.0,62.0,12.0,70.0
41110,1206105,Obszar wiejski,8.0,,8.0,,8.0,
41111,1206105,Obszar wiejski,16.0,66.0,16.0,55.0,16.0,63.0
41113,1206105,Obszar wiejski,10.0,70.0,10.0,46.0,10.0,77.0
38904,1206132,Gmina wiejska,15.0,60.0,15.0,44.0,15.0,52.0
38906,1206132,Gmina wiejska,23.0,73.0,23.0,61.0,22.0,68.0
44097,1206132,Gmina wiejska,4.0,,4.0,,4.0,
88976,1206132,Gmina wiejska,10.0,61.0,10.0,54.0,10.0,59.0
30258,1206124,Miasto,54.0,61.0,54.0,52.0,54.0,66.0
17139,1206125,Obszar wiejski,12.0,53.0,12.0,53.0,12.0,47.0
24791,1206125,Obszar wiejski,11.0,66.0,11.0,56.0,11.0,66.0
27194,1206125,Obszar wiejski,19.0,56.0,19.0,46.0,19.0,58.0
27319,1206125,Obszar wiejski,32.0,64.0,32.0,46.0,32.0,60.0
27454,1206125,Obszar wiejski,17.0,56.0,17.0,41.0,17.0,50.0
89668,1206152,Gmina wiejska,17.0,73.0,17.0,55.0,19.0,68.0
89669,1206152,Gmina wiejska,21.0,76.0,21.0,76.0,21.0,83.0
89671,1206152,Gmina wiejska,22.0,60.0,22.0,44.0,22.0,67.0
92763,1206152,Gmina wiejska,51.0,74.0,51.0,61.0,50.0,78.0
92936,1206152,Gmina wiejska,5.0,,5.0,,5.0,
5867,1206162,Gmina wiejska,35.0,71.0,35.0,60.0,35.0,78.0
5868,1206162,Gmina wiejska,14.0,76.0,14.0,40.0,14.0,81.0
5869,1206162,Gmina wiejska,9.0,,9.0,,10.0,69.0
5870,1206162,Gmina wiejska,21.0,72.0,21.0,63.0,21.0,84.0
5873,1206162,Gmina wiejska,58.0,65.0,58.0,57.0,57.0,77.0
55103,1206162,Gmina wiejska,41.0,67.0,41.0,59.0,40.0,90.0
55701,1206162,Gmina wiejska,9.0,,9.0,,11.0,62.0
55709,1206162,Gmina wiejska,42.0,68.0,42.0,62.0,42.0,79.0
56731,1206162,Gmina wiejska,4.0,,4.0,,4.0,
