,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,84459,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 10 TOWARZYSTWA SZKOLNEGO IM. M. REJA,Bielsko-Biała,ul. Komorowicka 13,14,54,18,55,53,14,26,16,20,20,14,34,25,23,20,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,85357,dla młodzieży,Nie,WALDORFSKA SZKOŁA PODSTAWOWA IM. CYPRIANA KAMILA NORWIDA W BIELSKU-BIAŁEJ,Bielsko-Biała,ul. Pocztowa 22,7,,,,,7,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,87607,dla młodzieży,Nie,SPOŁECZNA SZKOŁA PODSTAWOWA KATOLICKIEGO TOWARZYSTWA KULTURALNEGO,Bielsko-Biała,ul. Doliny Miętusiej 5,56,72,14,73,78,56,73,21,78,88,56,95,12,98,100,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,88129,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 2 TOWARZYSTWA SZKOLNEGO IM. M.REJA,Bielsko-Biała,pl. Marcina Lutra 7,68,66,16,68,71,68,60,25,64,28,67,78,27,91,98,,,,,,,,,,,1,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,89706,dla młodzieży,Nie,SZKOŁA PODSTAWOWA MISTRZOSTWA SPORTOWEGO BBTS,Bielsko-Biała,ul. Czereśniowa 20,44,63,10,66,67,44,50,21,48,44,44,70,22,74,65,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,92846,nie dotyczy,Tak,PAŃSTWOWA OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA II ST. IM. STANISŁAWA MONIUSZKI W BIELSKU-BIAŁEJ,Bielsko-Biała,ul. Stanisława Wyspiańskiego 5a,27,76,9,76,76,27,57,21,56,56,27,83,22,95,96,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,105981,dla młodzieży,Nie,"NIEPUBLICZNA SZKOŁA PODSTAWOWA ""AKADEMIA ŻAKÓW""",Bielsko-Biała,ul. Jaworzańska 2,20,77,14,78,78,20,66,28,72,96,20,83,23,96,100,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,112312,dla młodzieży,Tak,SZKOŁA PODSTAWOWA SPECJALNA NR 34 W MŁODZIEŻOWYM OŚRODKU SOCJOTERAPII IM. TADEUSZA KOŚCIUSZKI W BIELSKU-BIAŁEJ,Bielsko-Biała,ul. Starobielska 9,23,29,15,24,22,23,18,11,16,4,23,35,21,27,13,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,119005,dla młodzieży,Nie,"SZKOŁA PODSTAWOWA MISTRZOSTWA SPORTOWEGO BTS ""REKORD""",Bielsko-Biała,ul. Startowa 29,24,69,11,70,71,24,54,24,52,64,23,70,23,76,89,,,,,,,,,,,1,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,128114,dla młodzieży,Nie,"ANGLOJĘZYCZNA SZKOŁA PODSTAWOWA ""EUROPEJCZYK""",Bielsko-Biała,ul. Tadeusza Rejtana 3,16,66,8,69,69,16,72,19,72,48,17,93,14,98,100,,,,,,,,,,,,,,,,,,,,,,,,,
