,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,17760,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 11 Z ODDZIAŁAMI INTEGRACYJNYMI IM.KORNELA MAKUSZYŃSKIEGO W ZESPOLE EDUKACYJNYM NR 9 W ZIELONEJ GÓRZE,Zielona Góra,ul. Spawaczy 3D,146,63,13,64,71,146,54,24,52,40,116,80,24,91,98,,,,,,,,,,,34,80,17,85,93,,,,,
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,17842,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 10 IM. JANUSZA KUSOCIŃSKIEGO W ZESPOLE SZKÓŁ OGÓLNOKSZTAŁCĄCYCH I SPORTOWYCH W ZIELONEJ GÓRZE,Zielona Góra,ul. Stanisława Wyspiańskiego 23,80,54,20,56,53,80,46,26,44,16,74,62,29,70,96,,,,,,,,,,,7,,,,,,,,,
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,17876,dla młodzieży,Tak,EKOLOGICZNA SZKOŁA PODSTAWOWA NR 22 Z ODDZIAŁAMI INTEGRACYJNYMI W ZESPOLE SZKÓŁ EKOLOGICZNYCH IM. UNII EUROPEJSKIEJ W ZIELONEJ GÓRZE,Zielona Góra,ul. Francuska 25a,59,63,14,62,49,58,62,26,68,96,46,76,26,86,96,,,,,,,,,,,13,74,21,76,65,,,,,
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,17887,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 21 IM. KAROLA WOJTYŁY W ZESPOLE EDUKACYJNYM NR 3 W ZIELONEJ GÓRZE,Zielona Góra,ul. Osiedle Pomorskie 13,33,66,16,67,60,33,38,20,36,24,34,66,28,76,75,,,,,,,,,,,2,,,,,,,,,
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,17889,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 8 IM. JANA BRZECHWY W ZIELONEJ GÓRZE,Zielona Góra,ul. Kąpielowa 7,68,63,14,67,73,68,59,23,64,68,68,78,25,85,100,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,23298,dla młodzieży,Tak,"SZKOŁA PODSTAWOWA NR 24 Z ODDZIAŁAMI INTEGRACYJNYMI IM. ""POLSKICH OLIMPIJCZYKÓW"" W ZESPOLE EDUKACYJNYM NR 4 W ZIELONEJ GÓRZE",Zielona Góra,ul. Drzonków-Szkolna 2,93,58,14,62,56,93,53,25,52,64,93,71,25,80,91,,,,,,,,,,,2,,,,,,,,,
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,23299,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 25 IM.MJRA HENRYKA SUCHARSKIEGO W ZESPOLE EDUKACYJNYM NR 5 W ZIELONEJ GÓRZE,Zielona Góra,ul. Ochla-Szkolna 1,23,63,14,69,69,23,54,21,56,56,23,67,26,71,96,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,23300,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 26 Z ODDZIAŁAMI INTEGRACYJNYMI IM.JANA BRZECHWY W ZESPOLE EDUKACYJNYM NR 6 W ZIELONEJ GÓRZE,Zielona Góra,ul. Przylep-8 Maja 6,80,52,18,53,38,80,44,21,44,60,78,68,29,78,100,,,,,,,,,,,2,,,,,,,,,
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,23301,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 27 IM. WŁADYSŁAWA BRONIEWSKIEGO W ZESPOLE EDUKACYJNYM NR 7 W ZIELONEJ GÓRZE,Zielona Góra,ul. Stary Kisielin-Szkolna 14,33,55,15,56,53,33,44,20,44,44,37,54,23,45,42,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,23302,dla młodzieży,Tak,"SZKOŁA PODSTAWOWA NR 28 IM. ""LUBUSKICH RODZIN KATYŃSKICH"" W ZESPOLE EDUKACYJNYM NR 8 W ZIELONEJ GÓRZE",Zielona Góra,ul. Zawada-Szkolna 24,19,67,19,71,71,19,59,21,56,48,19,76,24,87,73,,,,,,,,,,,,,,,,,,,,
