,Rural county,Urban county,Revenue per person,Website,Start date,Students,Sport venues,German or French,Logopedist,Psychologist,Pedagogue,Participants in English,Avg. score in English,Prctl in English
138,1,0,0.05086691135370844,1,0.1415525114155251,0.16541822721598,0,1,0,0,1,0.05128205128205128,54,25.384857053094567
139,1,0,0.08571036012920374,1,0.04794520547945205,0.18601747815230962,1,1,0,0,0,0.06837606837606838,65,57.21017907634307
140,1,0,0.06381166225617393,1,0.04794520547945205,0.13108614232209737,0,1,1,1,0,0.04700854700854701,51,18.44172164624568
141,1,0,0.06381166225617393,1,0.04794520547945205,0.10861423220973783,1,1,1,0,1,0.03418803418803419,41,4.068488846999686
142,1,0,0.04995743463518187,1,0.10273972602739725,0.15543071161048688,0,1,1,0,1,0.038461538461538464,56,30.301602262016964
143,1,0,0.04995743463518187,0,0.07990867579908675,0.07677902621722846,1,1,0,0,0,0.004273504273504274,39,2.7175620483820295
144,1,0,0.037482521898449334,1,0.08447488584474885,0.12921348314606743,1,1,1,1,1,0.05555555555555555,66,59.72353125981778
145,1,0,0.037482521898449334,1,0.08447488584474885,0.0780274656679151,1,1,1,0,1,0.0,76,84.90417844800503
146,1,0,0.05680392786151018,1,0.13013698630136986,0.06429463171036205,0,1,0,0,1,0.0,46,9.519321394910461
147,1,0,0.05680392786151018,1,0.0821917808219178,0.21598002496878901,0,1,0,0,1,0.10683760683760683,53,22.79296261388627
148,1,0,0.035116153498422974,1,0.24429223744292236,0.06928838951310862,1,1,1,0,1,0.029914529914529916,56,30.301602262016964
149,1,0,0.035116153498422974,1,0.365296803652968,0.1766541822721598,0,1,0,0,1,0.09829059829059829,62,47.56519007225887
150,1,0,0.03716419099081903,1,0.1050228310502283,0.2602996254681648,1,1,1,0,1,0.1111111111111111,57,33.113415017279294
151,1,0,0.07996179804260414,0,0.0547945205479452,0.05867665418227216,1,1,0,0,1,0.021367521367521368,59,38.737040527803956
152,1,0,0.07996179804260414,1,0.0547945205479452,0.12796504369538078,0,1,1,0,1,0.04700854700854701,65,57.21017907634307
153,1,0,0.07931845493926262,1,0.045662100456621,0.23845193508114856,0,1,0,0,0,0.1623931623931624,55,27.756833176248826
154,0,1,0.048591012906242764,0,0.07990867579908675,0.11672908863920099,1,1,0,0,1,0.021367521367521368,53,22.79296261388627
155,0,1,0.048591012906242764,1,0.07534246575342465,0.11922596754057428,1,1,1,0,1,0.029914529914529916,63,50.67546339930883
156,0,1,0.048591012906242764,0,0.07990867579908675,0.3121098626716604,1,1,1,1,1,0.11538461538461539,69,68.37888784165881
157,0,1,0.048591012906242764,0,0.07990867579908675,0.2784019975031211,1,1,1,1,1,0.20512820512820512,50,16.462456801759345
158,0,1,0.048591012906242764,1,0.07990867579908675,0.22846441947565543,0,1,1,1,1,0.1282051282051282,59,38.737040527803956
159,0,1,0.048591012906242764,0,0.07990867579908675,0.3863920099875156,1,1,1,1,1,0.2606837606837607,67,62.5196355639334
160,0,1,0.048591012906242764,1,0.07990867579908675,0.34769038701622973,1,1,1,0,1,0.24358974358974358,63,50.67546339930883
161,0,1,0.048591012906242764,0,0.07990867579908675,0.28651685393258425,1,1,1,1,1,0.20512820512820512,76,84.90417844800503
162,0,1,0.048591012906242764,0,0.07534246575342465,0.10611735330836454,1,1,0,0,1,0.04700854700854701,49,14.828777882500784
163,1,0,0.051966100749844535,0,0.0547945205479452,0.0686641697877653,1,1,0,0,0,0.017094017094017096,52,20.23248507697141
164,1,0,0.051966100749844535,1,0.0547945205479452,0.13420724094881398,1,1,1,0,1,0.04700854700854701,51,18.44172164624568
