RSPO,TERYT,Rural county,Urban county,Rural territory,City,Revenue per person,Participants in mathematics,Avg. score in mathematics
48153,2415041,0,1,0,0,5092.32,69,42
56640,2415041,0,1,0,0,5092.32,17,45
56643,2415041,0,1,0,0,5092.32,39,48
56646,2415041,0,1,0,0,5092.32,15,45
56651,2415041,0,1,0,0,5092.32,36,45
57685,2415041,0,1,0,0,5092.32,19,51
72807,2415041,0,1,0,0,5092.32,26,44
72808,2415041,0,1,0,0,5092.32,23,43
72810,2415041,0,1,0,0,5092.32,41,39
72814,2415041,0,1,0,0,5092.32,23,54
263497,2415041,0,1,0,0,5092.32,20,40
8933,2416032,1,0,0,0,5855.12,18,42
11618,2416042,1,0,0,0,5878.68,19,45
84211,2416042,1,0,0,0,5878.68,36,47
74880,2416011,0,1,0,0,4397.43,11,56
79096,2416011,0,1,0,0,4397.43,44,44
4285,2416092,1,0,0,0,5621.48,26,35
20280,2416021,0,1,0,0,5355.9,40,46
20654,2416021,0,1,0,0,5355.9,61,45
21086,2416021,0,1,0,0,5355.9,106,47
21203,2416021,0,1,0,0,5355.9,58,46
24266,2416021,0,1,0,0,5355.9,15,36
25332,2416021,0,1,0,0,5355.9,26,28
25634,2416021,0,1,0,0,5355.9,26,53
83899,2416021,0,1,0,0,5355.9,77,48
41951,2416102,1,0,0,0,5237.54,13,38
47304,2416102,1,0,0,0,5237.54,33,52
19130,2476011,0,1,0,0,6323.71,48,39
19131,2476011,0,1,0,0,6323.71,87,55
19132,2476011,0,1,0,0,6323.71,30,30
19133,2476011,0,1,0,0,6323.71,60,40
19134,2476011,0,1,0,0,6323.71,43,22
19165,2476011,0,1,0,0,6323.71,45,31
19166,2476011,0,1,0,0,6323.71,40,31
196343,2476011,0,1,0,0,6323.71,43,58
48535,2479011,0,1,0,0,6696.16,72,45
48539,2479011,0,1,0,0,6696.16,68,41
48543,2479011,0,1,0,0,6696.16,89,39
48547,2479011,0,1,0,0,6696.16,28,42
86894,2479011,0,1,0,0,6696.16,19,61
92795,2479011,0,1,0,0,6696.16,32,46
92796,2479011,0,1,0,0,6696.16,34,51
92797,2479011,0,1,0,0,6696.16,13,51
92799,2479011,0,1,0,0,6696.16,24,48
93003,2479011,0,1,0,0,6696.16,40,39
93050,2479011,0,1,0,0,6696.16,92,43
103514,2479011,0,1,0,0,6696.16,53,35
271659,2479011,0,1,0,0,6696.16,20,47
8413,2417022,1,0,0,0,5011.45,23,50
12351,2417022,1,0,0,0,5011.45,12,63
12352,2417022,1,0,0,0,5011.45,20,56
84334,2417032,1,0,0,0,5506.18,48,53
84377,2417032,1,0,0,0,5506.18,11,53
122216,2417042,1,0,0,0,5260.8,14,48
122219,2417042,1,0,0,0,5260.8,11,44
122243,2417042,1,0,0,0,5260.8,12,48
123323,2417042,1,0,0,0,5260.8,10,67
123345,2417042,1,0,0,0,5260.8,21,47
123347,2417042,1,0,0,0,5260.8,14,43
123349,2417042,1,0,0,0,5260.8,23,34
265062,2417052,1,0,0,0,6677.56,25,37
5338,2417062,1,0,0,0,5293.45,14,42
75412,2417062,1,0,0,0,5293.45,12,53
75413,2417062,1,0,0,0,5293.45,17,54
75415,2417062,1,0,0,0,5293.45,43,53
75417,2417062,1,0,0,0,5293.45,16,49
80281,2417092,1,0,0,0,5363.65,57,41
80505,2417092,1,0,0,0,5363.65,11,22
81322,2417092,1,0,0,0,5363.65,15,47
87237,2417092,1,0,0,0,5363.65,11,37
106512,2417102,1,0,0,0,5370.59,27,56
106587,2417102,1,0,0,0,5370.59,16,48
108796,2417102,1,0,0,0,5370.59,56,43
27315,2417112,1,0,0,0,5978.28,39,39
30062,2417112,1,0,0,0,5978.28,21,33
60963,2417142,1,0,0,0,5143.61,26,41
79755,2417152,1,0,0,0,5273.92,30,27
79961,2417152,1,0,0,0,5273.92,22,46
86048,2417152,1,0,0,0,5273.92,43,43
86052,2417152,1,0,0,0,5273.92,48,37
107060,2417082,1,0,0,0,5193.18,47,56
107152,2417082,1,0,0,0,5193.18,31,47
107159,2417082,1,0,0,0,5193.18,15,38
107198,2417082,1,0,0,0,5193.18,30,47
21350,2417072,1,0,0,0,5514.81,19,60
86400,2417122,1,0,0,0,6417.95,33,52
9978,2417132,1,0,0,0,6314.33,18,57
11918,2417132,1,0,0,0,6314.33,11,49
11935,2417132,1,0,0,0,6314.33,18,46
3039,2417011,0,1,0,0,5539.53,52,38
3317,2417011,0,1,0,0,5539.53,56,54
3336,2417011,0,1,0,0,5539.53,118,41
3349,2417011,0,1,0,0,5539.53,25,42
44126,2417011,0,1,0,0,5539.53,29,44
44375,2417011,0,1,0,0,5539.53,12,45
32043,0661011,0,1,0,0,7374.46,145,57
32049,0661011,0,1,0,0,7374.46,92,39
32051,0661011,0,1,0,0,7374.46,82,52
34685,0661011,0,1,0,0,7374.46,30,56
60996,0661011,0,1,0,0,7374.46,28,54
61000,0661011,0,1,0,0,7374.46,75,41
61025,0661011,0,1,0,0,7374.46,87,42
11574,0662011,0,1,0,0,8035.34,42,53
11575,0662011,0,1,0,0,8035.34,73,52
14175,0662011,0,1,0,0,8035.34,36,40
15066,0662011,0,1,0,0,8035.34,80,51
25898,0662011,0,1,0,0,8035.34,50,40
27083,0662011,0,1,0,0,8035.34,36,44
29956,0662011,0,1,0,0,8035.34,55,45
52867,0662011,0,1,0,0,8035.34,79,49
6028,0663011,0,1,0,0,7063.48,15,14
38700,0663011,0,1,0,0,7063.48,63,63
38820,0663011,0,1,0,0,7063.48,75,58
44512,0663011,0,1,0,0,7063.48,70,64
48472,0663011,0,1,0,0,7063.48,75,64
48473,0663011,0,1,0,0,7063.48,60,48
48731,0663011,0,1,0,0,7063.48,29,38
48804,0663011,0,1,0,0,7063.48,82,41
48911,0663011,0,1,0,0,7063.48,94,58
49073,0663011,0,1,0,0,7063.48,98,68
52402,0663011,0,1,0,0,7063.48,142,52
52458,0663011,0,1,0,0,7063.48,72,54
53185,0663011,0,1,0,0,7063.48,133,61
53352,0663011,0,1,0,0,7063.48,81,43
53524,0663011,0,1,0,0,7063.48,83,54
53689,0663011,0,1,0,0,7063.48,91,64
54080,0663011,0,1,0,0,7063.48,82,44
54404,0663011,0,1,0,0,7063.48,131,52
56052,0663011,0,1,0,0,7063.48,29,48
