RSPO,TERYT,Rural county,Urban county,Rural territory,City,Revenue per person,Website,Start date,Students,Sport venues,German or French,Logopedist,Psychologist,Pedagogue,Participants in English,Avg. score in English
57329,1008021,0,1,0,0,4811.88,1,1962-09-01,403,0,1,0,0,0,46,66
57330,1008021,0,1,0,0,4811.88,1,1958-09-01,344,1,1,1,0,1,67,73
57331,1008021,0,1,0,0,4811.88,1,1965-09-01,369,1,1,0,0,1,59,73
57340,1008021,0,1,0,0,4811.88,0,1945-02-15,230,1,1,1,1,1,20,50
30720,1008072,1,0,0,0,6991.18,1,1999-09-01,324,1,1,1,1,1,27,77
30736,1008072,1,0,0,0,6991.18,0,1999-09-01,281,1,1,1,1,1,16,59
39621,1008072,1,0,0,0,6991.18,0,1999-09-01,177,1,1,1,1,1,12,56
57671,1008072,1,0,0,0,6991.18,0,1997-09-01,284,0,1,1,1,1,36,57
107577,1009022,1,0,0,0,4913.09,1,1999-09-01,87,1,1,1,0,1,10,51
110060,1009022,1,0,0,0,4913.09,0,1999-09-01,188,0,1,0,0,1,31,48
9670,1009032,1,0,0,0,5217.41,0,1999-09-01,283,1,1,0,0,0,44,58
11880,1009052,1,0,0,0,11250.54,1,1995-09-01,150,1,1,1,0,1,12,77
42855,1009052,1,0,0,0,11250.54,1,1995-09-01,279,0,1,0,0,1,40,62
4066,1009062,1,0,0,0,5516.4,1,1999-08-31,136,1,1,0,0,0,15,64
80686,1009062,1,0,0,0,5516.4,1,1975-12-15,248,1,1,1,0,1,23,45
4901,1009072,1,0,0,0,5006.43,0,1945-09-01,196,0,1,1,0,1,16,69
4902,1009072,1,0,0,0,5006.43,0,1968-09-01,60,1,1,0,0,1,12,49
85963,1009082,1,0,0,0,10857.72,1,1954-09-01,30,0,1,1,1,1,12,48
87964,1009082,1,0,0,0,10857.72,1,1955-09-01,81,0,1,1,1,1,10,63
88231,1009082,1,0,0,0,10857.72,1,1945-09-01,260,1,1,0,1,1,26,68
85789,1010012,1,0,0,0,5609.64,1,1919-01-01,148,1,0,1,0,0,20,71
85860,1010012,1,0,0,0,5609.64,0,1866-03-05,105,0,1,0,0,0,12,45
23457,1010022,1,0,0,0,5990.79,1,1999-09-01,257,0,1,0,0,1,28,52
43633,1010022,1,0,0,0,5990.79,1,1999-09-01,120,0,1,0,0,1,19,53
10577,1010032,1,0,0,0,5052.47,1,1931-09-01,619,0,1,1,0,1,57,60
47739,1010042,1,0,0,0,6530.48,1,1916-09-01,163,1,1,0,0,1,10,58
47952,1010042,1,0,0,0,6530.48,1,1919-09-01,139,1,1,0,0,0,10,68
49690,1010042,1,0,0,0,6530.48,1,1919-09-01,202,1,1,0,0,0,15,65
24073,1010062,1,0,0,0,5422.66,0,1999-09-01,180,1,1,0,0,1,15,56
24076,1010062,1,0,0,0,5422.66,1,1999-09-01,236,0,1,0,0,1,16,68
28119,1010062,1,0,0,0,5422.66,1,1999-09-01,500,0,1,1,0,1,37,71
31890,1010062,1,0,0,0,5422.66,0,1999-01-01,134,1,1,0,0,0,13,54
119887,1010062,1,0,0,0,5422.66,0,2013-09-01,67,0,0,0,0,0,11,60
79856,1010082,1,0,0,0,5036.61,1,1957-09-01,139,1,1,0,0,1,14,63
85212,1010082,1,0,0,0,5036.61,1,1971-09-01,458,1,1,0,1,1,51,66
86391,1010082,1,0,0,0,5036.61,1,1955-09-01,171,1,1,1,0,0,29,54
87726,1010082,1,0,0,0,5036.61,1,1967-09-01,143,1,1,0,0,0,24,75
88891,1010082,1,0,0,0,5036.61,0,1965-09-01,215,1,1,1,1,1,31,53
86183,1010072,1,0,0,0,4824.38,1,1937-09-01,226,1,1,0,0,1,19,71
43884,1010102,1,0,0,0,6040.3,0,1996-09-01,389,0,1,0,0,1,35,51
60322,1010102,1,0,0,0,6040.3,1,1996-09-01,383,0,1,0,0,1,34,64
60540,1010102,1,0,0,0,6040.3,0,1996-09-01,133,0,1,1,0,1,13,41
60549,1010102,1,0,0,0,6040.3,1,1996-09-01,135,0,1,1,0,1,18,59
84774,1010052,1,0,0,0,5517.51,0,1944-09-01,129,0,1,0,0,0,13,59
84809,1010052,1,0,0,0,5517.51,1,1950-09-01,138,1,1,1,0,1,14,38
84144,1011012,1,0,0,0,6753.09,0,1936-09-01,303,1,1,1,1,1,34,58
84146,1011012,1,0,0,0,6753.09,0,1928-09-01,185,0,1,0,1,0,20,49
