ID,Rural county,Urban county,Revenue per person,Website,Start date,Students,Sport venues,German or French,Logopedist,Psychologist,Pedagogue,Participants in mathematics,Avg. score in mathematics,Prctl in mathematics
92,0,1,0.03154691204255714,1,0.23515981735159816,0.22034956304619227,1,1,0,0,1,0.14225941422594143,44,46.49984648449493
93,0,1,0.03154691204255714,1,0.2328767123287671,0.15043695380774033,0,1,0,1,1,0.09205020920502092,61,92.46238870125882
94,0,1,0.03154691204255714,1,0.1324200913242009,0.2515605493133583,0,1,0,0,0,0.1506276150627615,41,34.41817623579981
95,0,1,0.03154691204255714,1,0.1415525114155251,0.21473158551810237,1,1,1,0,1,0.2384937238493724,49,65.18268345102855
96,0,1,0.03154691204255714,1,0.12557077625570776,0.2303370786516854,1,1,0,0,1,0.21338912133891214,52,74.68529321461467
97,0,1,0.03154691204255714,0,0.17123287671232876,0.14357053682896379,1,1,1,1,1,0.04184100418410042,27,2.6404666871354006
98,1,0,0.11235794255875797,1,0.04794520547945205,0.20224719101123595,1,1,1,1,1,0.07112970711297072,59,89.74516426159042
99,1,0,0.11235794255875797,0,0.04794520547945205,0.17540574282147317,1,1,1,1,1,0.02510460251046025,41,34.41817623579981
100,1,0,0.11235794255875797,0,0.04794520547945205,0.1104868913857678,1,1,1,1,1,0.012552301255230125,55,82.63739637703408
101,1,0,0.11235794255875797,0,0.05251141552511415,0.1772784019975031,0,1,1,1,1,0.11297071129707113,47,57.72182990482039
102,1,0,0.035401844235564583,1,0.04794520547945205,0.054307116104868915,1,1,1,0,1,0.0,37,20.63248388087197
103,1,0,0.035401844235564583,0,0.04794520547945205,0.11735330836454431,0,1,0,0,1,0.08786610878661087,41,34.41817623579981
104,1,0,0.04693125766074068,0,0.04794520547945205,0.1766541822721598,1,1,0,0,0,0.14225941422594143,47,57.72182990482039
105,1,0,0.25831898048049157,1,0.05707762557077625,0.09363295880149813,1,1,1,0,1,0.008368200836820083,72,99.17101627264354
106,1,0,0.25831898048049157,1,0.05707762557077625,0.17415730337078653,0,1,0,0,1,0.12552301255230125,45,50.690819772797056
107,1,0,0.05816971063519009,1,0.04794520547945205,0.08489388264669163,1,1,0,0,0,0.02092050209205021,51,71.40006140620203
108,1,0,0.05816971063519009,1,0.10273972602739725,0.15480649188514356,1,1,1,0,1,0.05439330543933055,35,15.059871046975745
109,1,0,0.038947913164791764,0,0.17123287671232876,0.12234706616729088,0,1,1,0,1,0.04184100418410042,43,42.29352164568622
110,1,0,0.038947913164791764,0,0.1187214611872146,0.03745318352059925,1,1,0,0,1,0.008368200836820083,35,15.059871046975745
111,1,0,0.038947913164791764,1,0.18493150684931506,0.06179775280898876,1,1,0,0,0,0.0,27,2.6404666871354006
112,1,0,0.2454591206972116,1,0.1506849315068493,0.018726591760299626,0,1,1,1,1,0.008368200836820083,35,15.059871046975745
113,1,0,0.2454591206972116,1,0.14840182648401826,0.05056179775280899,0,1,1,1,1,0.0,51,71.40006140620203
114,1,0,0.2454591206972116,1,0.17123287671232876,0.16229712858926343,1,1,0,1,1,0.06694560669456066,42,38.44028246852932
115,1,0,0.061656588564328096,1,0.23059360730593606,0.09238451935081149,1,0,1,0,0,0.04184100418410042,47,57.72182990482039
116,1,0,0.061656588564328096,0,0.3515981735159817,0.06554307116104868,0,1,0,0,0,0.008368200836820083,51,71.40006140620203
117,1,0,0.07582338394110438,1,0.04794520547945205,0.16042446941323346,0,1,0,0,1,0.07531380753138076,40,30.91802272029475
118,1,0,0.07582338394110438,1,0.04794520547945205,0.0749063670411985,0,1,0,0,1,0.03765690376569038,50,68.28369665336199
119,1,0,0.04069380870045696,1,0.20319634703196346,0.3863920099875156,0,1,1,0,1,0.200836820083682,42,38.44028246852932
120,1,0,0.09564788183779437,1,0.2374429223744292,0.1017478152309613,1,1,0,0,1,0.0,47,57.72182990482039
121,1,0,0.09564788183779437,1,0.23059360730593606,0.0867665418227216,1,1,0,0,0,0.0,58,88.01043905434449
122,1,0,0.09564788183779437,1,0.23059360730593606,0.12609238451935081,1,1,0,0,0,0.02092050209205021,48,61.57506908197728
123,1,0,0.054655618230407196,0,0.04794520547945205,0.11235955056179775,1,1,0,0,1,0.02092050209205021,54,80.2118513969911
124,1,0,0.054655618230407196,1,0.04794520547945205,0.14731585518102372,0,1,0,0,1,0.02092050209205021,50,68.28369665336199
125,1,0,0.054655618230407196,1,0.04794520547945205,0.3121098626716604,0,1,1,0,1,0.11297071129707113,57,86.30641694811176
126,1,0,0.054655618230407196,0,0.04794520547945205,0.08364544319600499,1,1,0,0,0,0.012552301255230125,42,38.44028246852932
127,1,0,0.054655618230407196,0,0.01598173515981735,0.041822721598002495,0,0,0,0,0,0.0041841004184100415,50,68.28369665336199
128,1,0,0.04009261578945963,1,0.14383561643835616,0.0867665418227216,1,1,0,0,1,0.016736401673640166,47,57.72182990482039
129,1,0,0.04009261578945963,1,0.11187214611872145,0.2858926342072409,1,1,0,1,1,0.17154811715481172,53,77.6788455634019
130,1,0,0.04009261578945963,1,0.14840182648401826,0.10674157303370786,1,1,1,0,0,0.0794979079497908,49,65.18268345102855
131,1,0,0.04009261578945963,1,0.12100456621004566,0.08926342072409488,1,1,0,0,0,0.058577405857740586,64,95.39453484801965
132,1,0,0.04009261578945963,0,0.12557077625570776,0.13420724094881398,1,1,1,1,1,0.08786610878661087,33,10.592569849554804
133,1,0,0.032023575587848165,1,0.18949771689497716,0.14107365792759052,1,1,0,0,1,0.03765690376569038,47,57.72182990482039
134,1,0,0.07765343233398939,0,0.0547945205479452,0.24282147315855182,0,1,0,0,1,0.10460251046025104,34,12.711083819465765
135,1,0,0.07765343233398939,1,0.0547945205479452,0.2390761548064919,0,1,0,0,1,0.100418410041841,55,82.63739637703408
136,1,0,0.07765343233398939,0,0.0547945205479452,0.08302122347066167,0,1,1,0,1,0.012552301255230125,29,4.436598096407737
137,1,0,0.07765343233398939,1,0.0547945205479452,0.08426966292134831,0,1,1,0,1,0.03347280334728033,43,42.29352164568622
138,1,0,0.05821127069225714,0,0.1735159817351598,0.08052434456928839,0,1,0,0,0,0.012552301255230125,36,17.838501688670554
139,1,0,0.05821127069225714,1,0.1598173515981735,0.08614232209737828,1,1,1,0,1,0.016736401673640166,47,57.72182990482039
140,1,0,0.10374634325923732,0,0.1917808219178082,0.1891385767790262,1,1,1,1,1,0.100418410041841,39,27.387166103776483
141,1,0,0.10374634325923732,0,0.2100456621004566,0.11548064918851436,0,1,0,1,0,0.04184100418410042,31,7.077064783543138
142,1,0,0.05086691135370844,1,0.1415525114155251,0.16541822721598,0,1,0,0,1,0.0502092050209205,54,80.2118513969911
143,1,0,0.08571036012920374,1,0.04794520547945205,0.18601747815230962,1,1,0,0,0,0.07112970711297072,26,1.8421860607921399
