ID,Rural county,Urban county,Revenue per person,Website,Start date,Students,Sport venues,German or French,Logopedist,Psychologist,Pedagogue,Participants in Polish,Avg. score in Polish,Prctl in Polish
4821,1,0,0.05921770680286076,1,0.1187214611872146,0.033707865168539325,0,0,0,0,0,0.008368200836820083,61,58.984195181832135
4822,1,0,0.08335672721402462,1,0.273972602739726,0.06991260923845194,1,1,0,0,0,0.0,56,33.15942918520792
4823,1,0,0.08335672721402462,0,0.273972602739726,0.04307116104868914,1,1,1,1,0,0.0,54,25.118919748350464
4824,1,0,0.08335672721402462,1,0.273972602739726,0.15293383270911362,0,1,1,1,1,0.0502092050209205,64,74.06782261776891
4825,1,0,0.08335672721402462,1,0.273972602739726,0.08926342072409488,0,1,1,1,1,0.04602510460251046,69,90.68589841951818
4826,1,0,0.05179537130251686,1,0.4452054794520548,0.18039950062421972,1,1,0,0,1,0.06694560669456066,64,74.06782261776891
4827,1,0,0.05179537130251686,1,0.3607305936073059,0.07677902621722846,0,1,0,0,1,0.02510460251046025,50,12.352309344790548
4828,1,0,0.05179537130251686,0,0.06164383561643835,0.04744069912609238,0,1,0,0,1,0.016736401673640166,61,58.984195181832135
4829,1,0,0.05179537130251686,1,0.3013698630136986,0.07116104868913857,1,1,1,1,1,0.0,69,90.68589841951818
4830,1,0,0.05179537130251686,1,0.15753424657534246,0.0599250936329588,1,1,0,0,1,0.02092050209205021,71,94.46064139941691
4831,1,0,0.05179537130251686,1,0.3287671232876712,0.07553058676654183,0,1,1,0,1,0.0,62,64.10925272364585
4832,1,0,0.08203521644987692,1,0.24885844748858446,0.15418227215980024,0,1,0,0,0,0.029288702928870293,54,25.118919748350464
4833,1,0,0.08203521644987692,1,0.3561643835616438,0.0780274656679151,0,1,0,0,1,0.029288702928870293,59,48.319779039435325
4834,1,0,0.08203521644987692,1,0.1917808219178082,0.24531835205992508,0,1,0,1,0,0.09623430962343096,54,25.118919748350464
4835,1,0,0.04308510593511997,1,0.2625570776255708,0.08801498127340825,1,1,0,0,0,0.029288702928870293,53,21.052631578947366
4836,1,0,0.04308510593511997,0,0.2534246575342466,0.1379525593008739,1,1,0,0,0,0.0502092050209205,59,48.319779039435325
4837,1,0,0.04308510593511997,1,0.273972602739726,0.06429463171036205,1,1,0,0,0,0.0,57,37.70139634801289
4838,1,0,0.04308510593511997,1,0.273972602739726,0.07053682896379526,1,1,0,0,0,0.012552301255230125,63,69.38775510204081
4839,1,0,0.03272722441070566,0,0.17123287671232876,0.054307116104868915,1,1,1,0,0,0.012552301255230125,73,96.88506981740065
4840,1,0,0.03272722441070566,1,0.2534246575342466,0.19912609238451934,1,1,0,0,1,0.07531380753138076,55,29.016418597514193
4841,1,0,0.03272722441070566,0,0.1278538812785388,0.1198501872659176,1,1,0,0,0,0.02510460251046025,60,53.5369034831978
4842,0,1,0.05686726343758506,0,0.06164383561643835,0.5792759051186017,1,1,1,0,1,0.3138075313807531,62,64.10925272364585
4843,0,1,0.05686726343758506,0,0.06164383561643835,0.15667915106117353,1,1,0,0,1,0.07531380753138076,61,58.984195181832135
4844,0,1,0.05686726343758506,1,0.06164383561643835,0.22596754057428214,0,1,0,0,0,0.18828451882845187,64,74.06782261776891
4845,0,1,0.05686726343758506,1,0.06164383561643835,0.09550561797752809,0,1,1,0,1,0.0,63,69.38775510204081
4846,0,1,0.05686726343758506,1,0.06164383561643835,0.4313358302122347,1,1,1,0,1,0.3179916317991632,65,78.21083320546263
4847,0,1,0.05686726343758506,0,0.06164383561643835,0.24032459425717853,1,1,1,0,1,0.1087866108786611,55,29.016418597514193
4848,0,1,0.05686726343758506,1,0.0639269406392694,0.3626716604244694,1,1,1,0,1,0.28451882845188287,62,64.10925272364585
4849,0,1,0.05686726343758506,1,0.04794520547945205,0.14357053682896379,1,1,1,0,1,0.05439330543933055,79,99.60104342488876
4850,0,1,0.05686726343758506,0,0.00228310502283105,0.1704119850187266,1,1,0,0,1,0.016736401673640166,57,37.70139634801289
4851,1,0,0.05578943023836641,1,0.16210045662100456,0.12484394506866417,0,1,0,0,1,0.02092050209205021,63,69.38775510204081
4852,1,0,0.05578943023836641,1,0.1004566210045662,0.17790262172284643,0,1,0,0,1,0.1087866108786611,63,69.38775510204081
4853,1,0,0.05578943023836641,1,0.3287671232876712,0.09925093632958802,1,1,0,0,0,0.012552301255230125,59,48.319779039435325
4854,1,0,0.05578943023836641,1,0.11643835616438356,0.07053682896379526,1,1,0,0,0,0.008368200836820083,66,81.84747583243825
4855,1,0,0.05578943023836641,1,0.365296803652968,0.15917602996254682,0,1,1,0,0,0.058577405857740586,61,58.984195181832135
4856,1,0,0.05578943023836641,1,0.3356164383561644,0.10486891385767791,1,1,0,0,1,0.008368200836820083,69,90.68589841951818
4857,1,0,0.05578943023836641,1,0.2511415525114155,0.04431960049937578,0,1,0,0,0,0.008368200836820083,50,12.352309344790548
4858,1,0,0.05578943023836641,1,0.2511415525114155,0.09051186017478152,0,1,0,0,1,0.03765690376569038,61,58.984195181832135
4859,1,0,0.05578943023836641,1,0.3470319634703196,0.2153558052434457,1,1,0,0,1,0.03765690376569038,65,78.21083320546263
4860,1,0,0.05578943023836641,1,0.2831050228310502,0.12734082397003746,0,1,0,0,1,0.0794979079497908,56,33.15942918520792
4861,1,0,0.08588006147364098,1,0.3287671232876712,0.06491885143570537,1,1,0,0,0,0.0,58,42.73438698787786
4862,1,0,0.08588006147364098,0,0.2625570776255708,0.17478152309612985,1,1,0,0,1,0.05439330543933055,61,58.984195181832135
4863,1,0,0.04873649458186611,1,0.1278538812785388,0.09737827715355805,0,1,0,0,1,0.008368200836820083,53,21.052631578947366
4864,1,0,0.04873649458186611,1,0.228310502283105,0.06554307116104868,0,1,0,0,0,0.0041841004184100415,60,53.5369034831978
4865,1,0,0.04873649458186611,1,0.13013698630136986,0.08364544319600499,0,0,0,0,0,0.012552301255230125,65,78.21083320546263
4866,1,0,0.04873649458186611,1,0.228310502283105,0.13420724094881398,0,1,0,0,0,0.06276150627615062,59,48.319779039435325
4867,1,0,0.04873649458186611,1,0.23059360730593606,0.10549313358302122,0,1,1,0,0,0.03765690376569038,68,88.32284793616695
4868,1,0,0.04873649458186611,1,0.1552511415525114,0.07053682896379526,1,1,0,0,0,0.02092050209205021,56,33.15942918520792
4869,1,0,0.04873649458186611,1,0.2602739726027397,0.07865168539325842,1,1,0,0,0,0.0041841004184100415,56,33.15942918520792
4870,1,0,0.06522299423082935,1,0.04794520547945205,0.039950062421972535,0,0,0,0,0,0.0,66,81.84747583243825
4871,0,1,0.04714633022193482,0,0.04794520547945205,0.06991260923845194,1,1,0,0,1,0.012552301255230125,57,37.70139634801289
4872,0,1,0.04714633022193482,1,0.3059360730593607,0.14294631710362046,1,1,0,1,1,0.04602510460251046,57,37.70139634801289
4873,0,1,0.04714633022193482,1,0.04794520547945205,0.31647940074906367,1,1,1,1,1,0.28451882845188287,65,78.21083320546263
4874,0,1,0.04714633022193482,0,0.04794520547945205,0.09363295880149813,1,1,0,0,0,0.0,49,10.050636796071812
4875,0,1,0.04714633022193482,1,0.04794520547945205,0.33208489388264667,1,1,0,0,1,0.25523012552301255,65,78.21083320546263
4876,0,1,0.04714633022193482,1,0.04794520547945205,0.2846441947565543,0,1,1,1,1,0.1506276150627615,59,48.319779039435325
4877,0,1,0.04714633022193482,1,0.15296803652968036,0.26779026217228463,1,1,0,0,0,0.12552301255230125,59,48.319779039435325
4878,0,1,0.04714633022193482,1,0.00684931506849315,0.34207240948813983,1,1,0,1,1,0.016736401673640166,61,58.984195181832135
4879,1,0,0.026326494319996396,1,0.3333333333333333,0.08489388264669163,1,1,1,0,0,0.0,54,25.118919748350464
4880,1,0,0.026326494319996396,0,0.2922374429223744,0.07740324594257178,1,1,0,0,1,0.0,54,25.118919748350464
4881,1,0,0.026326494319996396,1,0.3242009132420091,0.09113607990012484,1,1,0,0,0,0.02510460251046025,69,90.68589841951818
4882,1,0,0.026326494319996396,1,0.3538812785388128,0.07178526841448189,1,1,1,0,0,0.012552301255230125,49,10.050636796071812
